batch_id,production_date,equipment_id,shift,sequence,material_lot,feed_ratio,raw_property,temperature,pressure,feed_rate,reaction_time,vacuum,energy_kwh_per_ton,viscosity,particle_size,quality_value,yield_pct,quality_flag,dq_missing_count,dq_outlier_count,dq_review_flag
B0036,2026-01-12,EQ_B,NIGHT,36,M01,1.0024,98.94,178.18,2.200,99.50,60.60,0.860,239.51,424.2,18.29,99.17,96.52,OK,0,0,PASS
B0037,2026-01-13,EQ_B,DAY,37,M01,1.0045,99.36,196.67,2.401,99.66,65.30,0.785,248.83,438.6,17.68,98.37,95.81,OK,0,1,REVIEW
B0038,2026-01-13,EQ_B,SWING,38,M01,0.9876,99.73,180.22,2.255,103.36,57.74,0.844,234.25,420.0,17.03,99.56,97.66,OK,0,0,PASS
B0039,2026-01-13,EQ_B,NIGHT,39,M01,1.0192,100.23,180.71,2.396,102.58,63.06,0.868,246.44,438.6,19.00,100.46,95.88,OK,0,0,PASS
B0040,2026-01-14,EQ_C,DAY,40,M01,0.9926,100.11,180.04,2.272,98.24,60.18,0.814,229.38,423.8,17.18,99.92,96.42,OK,0,0,PASS
B0041,2026-01-14,EQ_B,SWING,41,M01,1.0019,98.46,180.50,2.359,97.64,59.10,0.830,247.83,425.4,17.10,100.16,96.52,OK,0,0,PASS
B0042,2026-01-14,EQ_A,NIGHT,42,M01,1.0042,99.94,179.37,2.221,100.14,60.43,0.834,238.14,435.0,17.94,100.25,96.43,OK,0,0,PASS
B0044,2026-01-15,EQ_B,SWING,44,M01,0.9956,98.60,183.19,2.489,98.85,61.34,0.871,246.45,419.5,18.12,99.35,95.81,OK,0,0,PASS
B0045,2026-01-15,EQ_A,NIGHT,45,M01,0.9730,99.35,180.17,2.223,100.32,56.33,0.802,220.88,388.9,17.82,100.63,97.83,OK,0,1,REVIEW
B0046,2026-01-16,EQ_C,DAY,46,M01,0.9990,99.63,177.74,2.243,103.78,59.23,0.844,232.70,430.3,17.92,100.78,96.76,OK,0,0,PASS
B0047,2026-01-16,EQ_B,SWING,47,M01,0.9979,99.47,180.30,2.339,98.46,61.79,0.805,250.21,440.5,18.50,100.23,97.10,OK,0,0,PASS
B0048,2026-01-16,EQ_A,NIGHT,48,M01,0.9829,98.96,177.71,2.244,98.37,62.25,0.755,230.78,401.6,18.69,99.45,97.02,OK,0,0,PASS
B0049,2026-01-17,EQ_A,DAY,49,M01,0.9923,100.62,184.88,2.398,96.01,64.82,0.853,244.79,435.4,18.63,98.66,94.87,NG,0,0,PASS
B0050,2026-01-17,EQ_A,SWING,50,M02,0.9967,101.49,180.23,2.361,102.03,59.67,0.802,243.07,446.4,18.13,99.54,97.00,NG,0,0,PASS
B0051,2026-01-17,EQ_C,NIGHT,51,M01,1.0052,99.39,176.10,2.305,102.28,54.62,0.828,233.69,419.0,16.71,98.43,95.97,OK,0,0,PASS
B0052,2026-01-18,EQ_C,DAY,52,M11,0.9905,100.26,178.92,2.168,100.47,57.18,0.798,224.94,433.3,17.58,100.72,97.27,OK,0,0,PASS
B0053,2026-01-18,EQ_A,SWING,53,M01,0.9931,99.30,174.73,2.297,98.80,62.13,0.780,228.83,433.1,18.45,98.98,95.67,OK,0,0,PASS
B0054,2026-01-18,EQ_A,NIGHT,54,M01,1.0092,100.48,179.10,2.315,99.35,54.85,0.779,227.81,429.3,16.98,100.03,97.42,OK,0,0,PASS
B0055,2026-01-19,EQ_A,DAY,55,M01,1.0026,100.64,179.30,2.279,98.22,62.88,0.785,238.26,440.7,17.71,100.38,97.21,NG,0,0,PASS
B0056,2026-01-19,EQ_C,SWING,56,M01,0.9939,98.96,179.97,2.193,96.40,56.59,0.860,228.89,416.7,16.72,100.30,96.49,OK,0,0,PASS
B0057,2026-01-19,EQ_C,NIGHT,57,M01,0.9881,99.86,184.24,2.528,101.02,62.01,0.783,241.87,412.5,17.57,98.74,95.29,NG,0,0,PASS
B0058,2026-01-20,EQ_B,DAY,58,M01,0.9918,100.73,181.85,2.436,95.66,64.03,0.804,248.46,440.4,18.05,99.96,96.15,NG,0,0,PASS
B0060,2026-01-20,EQ_B,NIGHT,60,M01,1.0075,99.32,182.02,2.395,102.52,59.44,0.818,234.80,423.1,17.45,100.67,95.60,OK,0,0,PASS
B0061,2026-01-21,EQ_C,DAY,61,M01,0.9916,99.00,179.63,2.249,95.21,60.79,0.806,238.01,422.3,17.77,99.34,97.06,OK,0,0,PASS
B0062,2026-01-21,EQ_C,SWING,62,M01,1.0022,99.32,181.34,2.173,101.69,60.97,0.807,231.72,419.4,18.04,99.62,95.66,OK,0,0,PASS
B0063,2026-01-21,EQ_C,NIGHT,63,M01,0.9989,99.36,176.33,2.234,98.56,65.51,0.773,246.06,453.2,18.59,98.63,95.14,OK,0,0,PASS
B0064,2026-01-22,EQ_B,DAY,64,M01,0.9779,99.43,180.47,2.383,100.03,60.75,0.862,251.98,415.9,18.03,100.20,95.67,OK,0,0,PASS
B0065,2026-01-22,EQ_C,SWING,65,M01,0.9915,98.90,179.07,2.185,99.34,58.64,0.832,241.63,429.5,18.31,100.52,95.90,OK,0,0,PASS
B0066,2026-01-22,EQ_A,NIGHT,66,M01,1.0039,99.23,179.54,2.139,102.73,58.36,0.804,232.90,422.6,17.98,100.06,96.90,NG,0,0,PASS
B0067,2026-01-23,EQ_B,DAY,67,M01,0.9699,98.54,183.00,2.917,93.55,63.48,0.784,243.98,404.8,17.24,99.31,95.07,OK,0,2,REVIEW
B0068,2026-01-23,EQ_C,SWING,68,M02,0.9968,100.18,180.15,2.268,102.31,56.77,0.886,236.25,434.5,17.32,99.17,96.88,OK,0,0,PASS
B0070,2026-01-24,EQ_C,DAY,70,M06,0.9976,99.37,178.00,2.255,96.75,57.76,0.832,231.15,423.1,18.12,99.95,96.71,OK,0,0,PASS
B0071,2026-01-24,EQ_B,SWING,71,M02,1.0061,99.94,179.01,2.172,101.37,58.10,0.875,238.30,427.1,18.45,99.39,97.57,OK,0,0,PASS
B0072,2026-01-24,EQ_A,NIGHT,72,M02,1.0028,100.69,180.38,2.168,94.64,59.03,0.820,232.43,429.7,18.76,99.47,96.40,OK,0,0,PASS
B0073,2026-01-25,EQ_A,DAY,73,M02,1.0073,100.34,180.02,2.296,99.08,57.23,0.775,241.92,424.3,17.29,99.26,95.42,OK,0,0,PASS
B0074,2026-01-25,EQ_B,SWING,74,M02,1.0041,99.84,181.21,2.380,88.97,60.98,0.821,252.11,426.8,18.15,100.56,96.59,OK,0,1,REVIEW
B0075,2026-01-25,EQ_B,NIGHT,75,M02,1.0107,100.60,179.69,2.467,98.07,59.97,0.771,233.09,454.9,18.08,98.56,96.78,OK,0,0,PASS
B0076,2026-01-26,EQ_B,DAY,76,M07,0.9879,100.91,182.19,2.308,99.73,61.95,0.811,247.36,449.8,18.56,99.37,95.99,NG,0,0,PASS
B0077,2026-01-26,EQ_C,SWING,77,M02,0.9985,100.37,179.45,2.371,95.01,62.91,0.893,242.99,450.6,18.94,99.59,97.24,OK,0,0,PASS
B0078,2026-01-26,EQ_B,NIGHT,78,M02,1.0133,99.13,179.71,2.310,94.34,65.78,0.869,241.25,448.0,17.92,98.97,96.89,NG,0,0,PASS
B0079,2026-01-27,EQ_A,DAY,79,M02,0.9871,100.73,179.08,2.304,103.62,61.08,0.811,233.04,434.3,17.83,99.80,96.74,OK,0,0,PASS
B0080,2026-01-27,EQ_C,SWING,80,M02,1.0092,99.58,188.25,2.269,97.72,59.63,0.811,227.08,446.5,16.80,98.57,95.15,OK,0,1,REVIEW
B0081,2026-01-27,EQ_C,NIGHT,81,M02,0.9945,100.12,178.93,2.290,106.89,55.89,0.755,233.70,437.5,17.46,99.84,97.49,NG,0,0,PASS
B0082,2026-01-28,EQ_C,DAY,82,M02,1.0032,100.90,179.68,2.360,94.34,63.92,0.835,244.79,441.4,18.07,99.67,97.19,OK,0,0,PASS
B0083,2026-01-28,EQ_A,SWING,83,M02,0.9983,99.29,177.48,2.253,103.41,61.80,0.798,232.36,428.6,17.62,99.46,96.94,OK,0,0,PASS
B0084,2026-01-28,EQ_C,NIGHT,84,M02,1.0035,100.65,179.50,2.284,96.69,60.94,0.846,234.37,455.6,17.99,100.01,96.92,OK,0,0,PASS
B0085,2026-01-29,EQ_B,DAY,85,M02,1.0043,99.74,177.57,2.277,95.31,67.11,0.789,245.15,450.0,18.93,99.70,95.67,OK,0,0,PASS
B0086,2026-01-29,EQ_A,SWING,86,M02,1.0079,100.33,179.24,2.392,102.32,57.91,0.795,223.08,438.6,17.62,99.99,96.05,NG,0,0,PASS
B0087,2026-01-29,EQ_C,NIGHT,87,M02,0.9920,100.23,177.93,2.286,97.29,58.85,0.810,240.99,432.0,18.24,99.49,97.21,OK,0,0,PASS
B0088,2026-01-30,EQ_A,DAY,88,M02,1.0000,99.98,178.83,2.193,102.08,58.00,0.790,228.30,416.1,18.48,99.61,96.97,OK,0,0,PASS
B0089,2026-01-30,EQ_A,SWING,89,M02,1.0032,100.40,176.99,2.196,96.05,59.60,0.832,226.96,441.5,18.65,100.27,95.72,OK,0,0,PASS
B0090,2026-01-30,EQ_A,NIGHT,90,M02,1.0061,99.77,177.55,2.266,98.07,60.21,0.813,233.59,431.5,17.93,100.70,97.61,OK,0,0,PASS
B0091,2026-01-31,EQ_C,DAY,91,M02,1.0128,99.98,178.98,2.227,100.83,62.39,0.788,248.77,449.4,18.25,99.79,96.77,NG,0,0,PASS
B0092,2026-01-31,EQ_C,SWING,92,M02,0.9956,99.68,181.65,2.270,101.82,59.38,0.797,236.12,426.6,18.76,100.05,97.07,OK,0,0,PASS
B0093,2026-01-31,EQ_B,NIGHT,93,M02,1.0058,100.23,180.31,2.237,110.96,53.60,0.817,232.94,422.5,17.54,101.46,97.29,OK,0,2,REVIEW
B0094,2026-02-01,EQ_B,DAY,94,M02,1.0115,100.54,180.62,2.297,95.30,64.03,0.846,251.46,464.0,18.99,99.81,96.25,OK,0,0,PASS
B0095,2026-02-01,EQ_B,SWING,95,M02,1.0145,100.89,181.30,2.357,98.40,54.81,0.787,240.73,432.1,18.26,99.86,97.12,OK,0,0,PASS
B0096,2026-02-01,EQ_A,NIGHT,96,M02,1.0026,100.50,181.38,2.266,101.14,57.29,0.727,227.21,417.1,19.20,99.39,96.81,NG,0,0,PASS
B0097,2026-02-02,EQ_C,DAY,97,M02,1.0080,99.19,178.54,2.288,103.41,56.72,0.735,235.23,422.7,17.96,100.25,96.72,OK,0,0,PASS
B0098,2026-02-02,EQ_A,SWING,98,M02,1.0152,100.25,179.42,2.248,96.95,59.07,0.840,229.45,426.5,18.36,100.05,97.21,OK,0,0,PASS
B0099,2026-02-02,EQ_C,NIGHT,99,M02,0.9968,99.95,177.28,2.117,98.57,66.78,0.786,239.08,448.7,18.24,99.04,95.86,NG,0,0,PASS
B0100,2026-02-03,EQ_C,DAY,100,M10,1.0014,100.97,179.58,2.301,103.25,58.60,0.829,238.82,430.7,18.30,99.14,97.54,OK,0,0,PASS
B0101,2026-02-03,EQ_A,SWING,101,M07,1.0088,100.55,180.14,2.306,98.99,54.13,0.808,225.30,420.8,17.60,100.23,97.33,NG,0,0,PASS
B0102,2026-02-03,EQ_B,NIGHT,102,M02,1.0066,99.39,178.56,2.328,100.52,60.22,0.815,249.30,427.8,18.37,99.75,96.77,NG,0,0,PASS
B0103,2026-02-04,EQ_B,DAY,103,M02,0.9946,100.06,180.99,2.404,104.21,56.37,0.823,238.64,424.8,16.93,99.58,97.18,OK,0,0,PASS
B0104,2026-02-04,EQ_C,SWING,104,M02,1.0072,99.99,182.93,2.342,104.36,54.55,0.807,234.40,411.9,18.20,99.54,95.89,OK,0,0,PASS
B0105,2026-02-04,EQ_A,NIGHT,105,M02,1.0074,100.81,179.75,2.264,95.70,64.86,0.774,240.04,462.0,18.98,99.80,96.06,OK,0,0,PASS
B0106,2026-02-05,EQ_A,DAY,106,M02,0.9942,101.73,176.92,2.393,96.81,60.33,0.793,227.51,439.1,19.22,99.52,95.21,OK,0,0,PASS
B0107,2026-02-05,EQ_B,SWING,107,M02,0.9892,100.17,181.78,2.435,105.30,59.46,0.833,242.84,416.3,17.50,100.24,97.25,OK,0,0,PASS
B0108,2026-02-05,EQ_B,NIGHT,108,M02,0.9950,100.64,177.48,2.170,100.60,63.07,0.772,242.13,439.1,17.82,99.81,96.31,OK,0,0,PASS
B0109,2026-02-06,EQ_C,DAY,109,M02,1.0022,100.20,179.79,2.230,92.02,63.84,0.827,239.02,429.6,18.08,100.31,97.80,OK,0,0,PASS
B0111,2026-02-06,EQ_A,NIGHT,111,M02,0.9899,98.68,183.71,2.363,97.04,54.26,0.790,233.12,386.4,16.27,98.48,95.36,OK,0,2,REVIEW
B0112,2026-02-07,EQ_B,DAY,112,M02,1.0053,100.39,180.08,2.398,96.06,62.39,0.809,235.54,466.3,18.37,99.90,96.74,OK,0,0,PASS
B0113,2026-02-07,EQ_C,SWING,113,M02,1.0036,101.39,181.26,2.237,95.42,63.46,0.786,243.07,441.2,18.02,100.51,96.62,NG,0,0,PASS
B0114,2026-02-07,EQ_C,NIGHT,114,M06,0.9895,99.81,175.79,2.254,100.64,57.73,0.863,227.14,433.4,17.39,98.37,96.04,OK,0,0,PASS
B0115,2026-02-08,EQ_C,DAY,115,M02,0.9854,99.99,178.38,2.288,99.67,58.56,0.817,238.69,447.3,17.54,100.57,97.39,NG,0,0,PASS
B0116,2026-02-08,EQ_C,SWING,116,M02,0.9965,100.00,179.25,2.286,97.96,61.79,0.740,230.88,437.5,17.24,99.89,97.41,OK,0,0,PASS
B0117,2026-02-08,EQ_C,NIGHT,117,M02,1.0146,101.07,181.09,2.351,99.51,58.47,0.720,238.68,451.2,17.57,99.11,96.20,NG,0,1,REVIEW
B0118,2026-02-09,EQ_A,DAY,118,M02,1.0049,99.83,179.19,2.321,102.14,58.19,0.745,227.54,454.1,17.46,98.87,96.20,OK,0,0,PASS
B0119,2026-02-09,EQ_B,SWING,119,M02,1.0019,100.17,179.72,2.308,98.12,58.86,0.821,236.72,440.2,18.65,99.61,97.04,OK,0,0,PASS
B0120,2026-02-09,EQ_B,NIGHT,120,M02,1.0047,100.06,180.86,2.202,102.04,59.03,0.908,239.73,424.9,17.99,99.65,97.17,OK,0,0,PASS
B0121,2026-02-10,EQ_A,DAY,121,M02,1.0034,101.01,176.54,2.199,102.71,61.31,0.855,231.49,438.9,17.69,99.63,97.14,OK,0,0,PASS
B0122,2026-02-10,EQ_B,SWING,122,M02,0.9977,100.45,177.44,2.280,96.36,64.35,0.894,239.53,451.7,18.43,99.08,95.82,OK,0,0,PASS
B0123,2026-02-10,EQ_B,NIGHT,123,M02,1.0064,99.42,181.23,2.326,99.14,61.96,0.824,243.86,447.6,19.11,100.36,95.82,OK,0,0,PASS
B0124,2026-02-11,EQ_A,DAY,124,M02,1.0035,100.90,182.66,2.305,97.42,62.85,0.813,239.60,433.5,18.83,99.19,95.92,OK,0,0,PASS
B0125,2026-02-11,EQ_C,SWING,125,M02,0.9833,100.62,180.42,2.348,100.78,57.47,0.790,238.57,437.6,18.53,100.17,96.30,OK,0,0,PASS
B0126,2026-02-11,EQ_C,NIGHT,126,M02,1.0077,100.54,183.33,2.336,103.59,60.35,0.770,245.77,440.6,18.33,99.72,95.92,OK,0,0,PASS
B0128,2026-02-12,EQ_B,SWING,128,M02,1.0026,99.81,177.76,2.228,101.78,56.81,0.785,233.60,405.1,17.42,100.03,96.48,OK,0,0,PASS
B0129,2026-02-12,EQ_A,NIGHT,129,M02,1.0094,100.12,180.37,2.238,103.25,57.90,0.779,232.78,439.4,18.15,99.02,96.84,OK,0,0,PASS
B0130,2026-02-13,EQ_B,DAY,130,M02,0.9898,100.72,179.32,2.298,100.64,65.11,0.828,229.80,443.8,18.76,99.52,96.30,OK,0,0,PASS
B0132,2026-02-13,EQ_B,NIGHT,132,M09,0.9905,99.04,180.26,2.266,108.42,52.82,0.808,234.53,383.3,16.17,99.34,98.70,OK,0,3,REVIEW
B0133,2026-02-14,EQ_C,DAY,133,M02,0.9906,100.15,182.73,2.329,107.71,60.65,0.869,241.82,421.5,17.67,99.45,95.85,NG,0,0,PASS
B0134,2026-02-14,EQ_A,SWING,134,M02,0.9997,100.68,182.74,2.361,100.31,61.54,0.861,235.28,439.8,18.82,99.86,96.96,NG,0,0,PASS
B0135,2026-02-14,EQ_C,NIGHT,135,M03,1.0071,100.01,182.14,2.351,98.28,60.65,0.870,243.00,428.9,18.33,100.14,96.51,OK,0,0,PASS
B0136,2026-02-15,EQ_C,DAY,136,M03,1.0038,101.25,179.69,2.281,106.63,53.99,0.768,235.74,404.2,17.73,99.33,96.32,OK,0,0,PASS
B0137,2026-02-15,EQ_C,SWING,137,M03,1.0021,101.00,176.85,2.124,97.60,61.02,0.853,225.58,442.9,19.13,99.18,96.24,OK,0,0,PASS
B0138,2026-02-15,EQ_C,NIGHT,138,M03,0.9978,99.77,181.36,2.429,99.38,59.97,0.799,237.42,420.7,18.28,100.16,96.89,NG,0,0,PASS
B0139,2026-02-16,EQ_A,DAY,139,M05,1.0166,100.59,180.81,2.334,100.88,62.38,0.826,241.52,445.8,18.83,100.13,96.76,OK,0,0,PASS
B0140,2026-02-16,EQ_C,SWING,140,M03,0.9994,102.69,179.82,2.233,91.92,64.15,0.865,246.46,456.1,19.37,99.70,96.77,OK,0,0,PASS
B0141,2026-02-16,EQ_B,NIGHT,141,M03,0.9937,100.62,179.22,2.354,98.58,60.26,0.842,230.74,426.4,17.87,99.23,96.96,OK,0,0,PASS
B0142,2026-02-17,EQ_C,DAY,142,M03,0.9972,100.84,176.39,2.180,99.74,61.70,0.808,228.45,439.0,18.75,100.18,96.32,OK,0,0,PASS
B0143,2026-02-17,EQ_A,SWING,143,M10,1.0316,101.46,175.81,2.107,99.27,62.48,0.855,230.10,468.7,18.33,99.99,96.00,OK,0,1,REVIEW
B0144,2026-02-17,EQ_A,NIGHT,144,M03,1.0180,100.47,181.68,2.384,100.80,58.28,0.808,232.68,433.5,18.12,99.93,96.50,OK,0,0,PASS
B0145,2026-02-18,EQ_C,DAY,145,M03,1.0052,100.36,180.65,2.325,102.40,54.83,0.796,231.46,406.0,18.33,100.35,96.68,OK,0,0,PASS
B0146,2026-02-18,EQ_A,SWING,146,M03,1.0066,99.94,180.08,2.268,96.52,59.56,0.789,234.45,434.5,17.93,99.89,96.70,OK,0,0,PASS
B0147,2026-02-18,EQ_A,NIGHT,147,M03,0.9939,101.40,181.51,2.176,98.01,58.96,0.758,241.78,429.0,18.96,98.99,97.27,NG,0,0,PASS
B0148,2026-02-19,EQ_A,DAY,148,M03,0.9907,100.21,179.33,2.401,102.98,60.13,0.857,232.14,433.9,18.50,99.73,96.61,OK,0,0,PASS
B0149,2026-02-19,EQ_A,SWING,149,M03,0.9958,99.94,179.54,2.229,94.16,65.29,0.812,246.72,444.5,18.20,99.26,96.51,OK,0,0,PASS
B0150,2026-02-19,EQ_B,NIGHT,150,M03,1.0081,102.08,180.80,2.558,98.59,59.61,0.817,243.58,439.2,19.09,99.70,97.52,OK,0,1,REVIEW
B0151,2026-02-20,EQ_A,DAY,151,M03,1.0099,100.97,179.39,2.276,95.43,63.19,0.833,236.24,447.9,18.86,99.62,97.61,OK,0,0,PASS
B0152,2026-02-20,EQ_A,SWING,152,M03,1.0041,100.88,181.48,2.377,103.99,58.10,0.814,238.16,442.3,17.91,100.27,96.35,OK,0,0,PASS
B0153,2026-02-20,EQ_C,NIGHT,153,M03,1.0003,101.39,180.73,2.243,102.43,59.28,0.889,247.82,443.3,19.31,99.16,96.77,OK,0,0,PASS
B0154,2026-02-21,EQ_B,DAY,154,M03,0.9946,100.68,179.86,2.232,97.36,58.61,0.850,244.15,450.8,18.96,100.38,96.53,OK,0,0,PASS
B0155,2026-02-21,EQ_B,SWING,155,M03,1.0087,100.42,180.56,2.407,94.14,59.50,0.789,244.47,432.2,18.04,99.98,97.53,OK,0,0,PASS
B0156,2026-02-21,EQ_C,NIGHT,156,M03,1.0028,99.53,179.14,2.274,105.62,54.36,0.823,234.38,436.2,17.01,100.20,96.90,OK,0,0,PASS
B0157,2026-02-22,EQ_A,DAY,157,M03,0.9956,101.07,178.82,2.300,90.92,69.77,0.846,240.95,447.1,19.33,98.86,94.69,OK,0,0,PASS
B0158,2026-02-22,EQ_B,SWING,158,M03,1.0078,99.71,180.49,2.363,95.34,54.32,0.794,229.99,413.2,16.77,100.08,96.99,OK,0,0,PASS
B0159,2026-02-22,EQ_C,NIGHT,159,M03,1.0024,100.75,179.91,2.247,104.58,52.86,0.865,233.26,426.4,17.51,100.06,96.65,OK,0,0,PASS
B0160,2026-02-23,EQ_B,DAY,160,M03,1.0182,100.10,184.50,2.340,97.91,64.37,0.833,252.88,447.4,17.98,99.17,95.60,OK,0,0,PASS
B0161,2026-02-23,EQ_C,SWING,161,M02,1.0113,100.77,185.97,2.302,105.79,59.19,0.888,246.38,435.2,18.49,98.00,94.91,OK,0,2,REVIEW
B0162,2026-02-23,EQ_C,NIGHT,162,M03,1.0164,101.67,183.23,2.311,101.73,58.25,0.799,255.09,438.3,18.73,98.98,96.09,OK,0,0,PASS
B0163,2026-02-24,EQ_C,DAY,163,M03,1.0009,100.31,180.43,2.303,101.66,61.25,0.886,248.27,453.8,18.05,98.95,96.54,OK,0,0,PASS
B0164,2026-02-24,EQ_A,SWING,164,M03,0.9963,102.33,177.78,2.186,96.61,57.80,0.831,222.49,442.3,17.14,98.62,95.59,OK,0,0,PASS
