batch_id,material_lot,feed_ratio,raw_property
B0081,M02,0.9945,100.12
B0082,M02,1.0032,100.90
B0083,M02,0.9983,99.29
B0084,M02,1.0035,100.65
B0085,M02,1.0043,99.74
B0086,M02,1.0079,100.33
B0087,M02,0.9920,100.23
B0088,M02,1.0000,99.98
B0089,M02,1.0032,100.40
B0090,M02,1.0061,99.77
B0091,M02,1.0128,99.98
B0092,M02,0.9956,99.68
B0093,M02,1.0058,100.23
B0094,M02,1.0115,100.54
B0095,M02,1.0145,100.89
B0096,M02,1.0026,100.50
B0097,M02,1.0080,99.19
B0098,M02,1.0152,100.25
B0099,M02,0.9968,99.95
B0100,M10,1.0014,100.97
B0101,M07,1.0088,100.55
B0102,M02,1.0066,99.39
B0103,M02,0.9946,100.06
B0104,M02,1.0072,99.99
B0105,M02,1.0074,100.81
B0106,M02,0.9942,101.73
B0107,M02,0.9892,100.17
B0108,M02,0.9950,100.64
B0109,M02,1.0022,100.20
B0110,M02,1.0055,98.81
B0111,M02,0.9899,98.68
B0112,M02,1.0053,100.39
B0113,M02,1.0036,101.39
B0114,M06,0.9895,99.81
B0115,M02,0.9854,99.99
B0116,M02,0.9965,100.00
B0117,M02,1.0146,101.07
B0118,M02,1.0049,99.83
B0119,M02,1.0019,100.17
B0120,M02,1.0047,100.06
B0121,M02,1.0034,101.01
B0122,M02,0.9977,100.45
B0123,M02,1.0064,99.42
B0124,M02,1.0035,100.90
B0125,M02,0.9833,100.62
B0126,M02,1.0077,100.54
B0127,M02,0.9857,100.49
B0128,M02,1.0026,99.81
B0129,M02,1.0094,100.12
B0130,M02,0.9898,100.72
B0131,M02,1.0074,99.66
B0132,M09,0.9905,99.04
B0133,M02,0.9906,100.15
B0134,M02,0.9997,100.68
B0135,M03,1.0071,100.01
B0136,M03,1.0038,101.25
B0137,M03,1.0021,101.00
B0138,M03,0.9978,99.77
B0139,M05,1.0166,100.59
B0140,M03,0.9994,102.69
B0141,M03,0.9937,100.62
B0142,M03,0.9972,100.84
B0143,M10,1.0316,101.46
B0144,M03,1.0180,100.47
B0145,M03,1.0052,100.36
B0146,M03,1.0066,99.94
B0147,M03,0.9939,101.40
B0148,M03,0.9907,100.21
B0149,M03,0.9958,99.94
B0150,M03,1.0081,102.08
B0151,M03,1.0099,100.97
B0152,M03,1.0041,100.88
B0153,M03,1.0003,101.39
B0154,M03,0.9946,100.68
B0155,M03,1.0087,100.42
B0156,M03,1.0028,99.53
B0157,M03,0.9956,101.07
B0158,M03,1.0078,99.71
B0159,M03,1.0024,100.75
B0160,M03,1.0182,100.10
B0161,M02,1.0113,100.77
B0162,M03,1.0164,101.67
B0163,M03,1.0009,100.31
B0164,M03,0.9963,102.33
B0165,M09,0.9988,99.05
B0166,M03,0.9780,100.98
B0167,M03,0.9791,101.86
B0168,M03,0.9928,100.50
B0169,M03,1.0119,101.09
B0170,M03,0.9812,100.32
B0171,M03,1.0019,100.87
B0172,M03,1.0035,100.57
B0173,M03,1.0003,100.55
B0174,M03,1.0129,101.77
B0175,M03,0.9923,101.24
B0176,M03,0.9998,101.40
B0177,M03,1.0039,99.95
B0178,M03,1.0008,101.19
B0179,M03,1.0046,100.03
B0180,M03,0.9972,99.99
B0181,M03,0.9994,101.05
B0182,M03,1.0000,100.97
B0183,M03,1.0006,101.45
B0184,M03,0.9816,100.94
B0185,M03,1.0091,101.64
B0186,M03,1.0103,99.92
B0187,M03,0.9913,100.75
B0188,M03,0.9898,100.15
B0189,M03,0.9917,99.63
B0190,M03,1.0059,100.80
B0191,M03,1.0130,99.11
B0192,M03,1.0017,101.06
B0193,M03,1.0091,100.99
B0194,M03,1.0081,99.94
B0195,M03,0.9983,101.58
B0196,M03,1.0097,101.02
B0197,M03,0.9891,102.13
B0198,M03,0.9985,100.59
B0199,M03,1.0107,99.70
B0200,M03,1.0006,100.70
B0201,M03,1.0021,102.22
B0202,M04,0.9820,100.22
B0203,M04,1.0043,99.76
B0204,M04,1.0331,99.58
B0205,M04,1.0001,100.99
B0206,M04,0.9988,100.05
B0207,M04,1.0073,100.33
B0208,M04,1.0038,99.29
B0209,M04,0.9953,99.70
B0210,M04,0.9967,99.39
B0211,M04,0.9912,100.76
B0212,M04,1.0087,99.67
B0213,M04,1.0157,101.33
B0214,M04,1.0181,99.94
B0215,M06,1.0030,99.48
B0216,M04,0.9936,99.08
B0217,M04,1.0059,99.19
B0218,M04,1.0063,99.99
B0219,M01,0.9845,98.12
B0220,M04,0.9942,99.23
B0221,M04,1.0073,100.29
B0222,M04,1.0155,99.70
B0223,M04,1.0180,98.55
B0224,M04,0.9881,100.05
B0225,M04,1.0026,100.37
B0226,M04,1.0138,100.03
B0227,M04,1.0021,100.27
B0228,M04,1.0027,99.72
B0229,M04,0.9930,99.47
B0230,M08,1.0004,101.91
B0231,M08,0.9924,102.09
B0232,M04,1.0139,98.93
B0233,M04,0.9871,100.61
B0234,M04,1.0049,99.31
B0235,M12,1.0103,102.06
B0236,M04,0.9967,100.49
B0237,M09,1.0117,99.68
B0238,M04,0.9877,99.56
B0239,M04,0.9980,100.97
B0240,M04,1.0112,99.83
B0241,M04,0.9943,99.92
B0242,M04,0.9986,99.23
B0243,M04,1.0094,99.83
B0244,M04,0.9774,99.43
B0245,M04,1.0042,100.39
B0246,M04,1.0106,99.66
B0247,M03,1.0068,99.84
B0248,M04,1.0145,99.12
B0249,M04,1.0077,101.23
B0250,M04,1.0004,99.42
B0251,M04,1.0038,99.42
B0252,M04,1.0043,99.55
B0253,M04,1.0008,99.59
B0254,M04,0.9926,100.07
B0255,M04,0.9886,100.15
B0256,M04,1.0054,100.45
B0257,M04,0.9854,100.43
B0258,M03,0.9985,102.23
B0259,M04,0.9888,100.21
B0260,M04,1.0029,100.56
B0261,M04,0.9970,101.18
B0262,M04,0.9865,100.51
B0263,M04,0.9989,98.42
B0264,M04,1.0080,99.47
B0265,M04,0.9911,98.31
B0266,M04,0.9961,99.33
B0267,M04,1.0050,99.26
B0268,M04,1.0054,99.16
B0269,M05,1.0088,100.24
B0270,M05,1.0054,101.61
B0271,M05,0.9856,100.99
B0272,M03,0.9880,101.04
B0273,M05,1.0019,100.54
B0274,M12,0.9986,101.42
B0275,M05,0.9955,100.55
B0276,M05,0.9795,100.80
B0277,M05,1.0042,101.01
B0278,M05,1.0014,101.51
B0279,M05,0.9913,101.25
B0280,M05,1.0009,100.14
B0281,M05,1.0081,101.21
B0282,M05,1.0008,100.48
B0283,M05,1.0051,101.51
B0284,M05,1.0082,100.41
B0285,M05,1.0067,102.67
B0286,M05,1.0026,101.14
B0287,M05,0.9939,99.96
B0288,M05,0.9890,100.19
B0289,M12,0.9952,99.89
B0290,M05,1.0098,99.71
B0291,M05,1.0091,100.46
B0292,M06,0.9910,98.61
B0293,M05,0.9946,101.60
B0294,M05,0.9921,101.69
B0295,M05,0.9820,100.32
B0296,M05,0.9858,101.10
B0297,M05,0.9961,100.89
B0298,M05,1.0189,100.38
B0299,M05,1.0117,100.61
B0300,M05,0.9863,100.98
B0301,M05,1.0007,100.83
B0302,M03,1.0119,101.23
B0303,M05,1.0141,101.53
B0304,M05,0.9809,101.07
B0305,M05,1.0011,100.87
B0306,M05,1.0083,101.68
B0307,M09,0.9887,98.13
B0308,M05,0.9999,99.82
B0309,M05,1.0103,100.15
B0310,M05,1.0056,100.32
B0311,M05,0.9953,101.58
B0312,M05,0.9982,101.69
B0313,M05,1.0085,101.35
B0314,M05,1.0074,100.20
B0315,M05,1.0140,101.39
B0316,M05,1.0027,101.23
B0317,M05,1.0008,101.08
B0318,M05,0.9929,101.77
B0319,M05,0.9802,100.79
B0320,M10,0.9987,100.74
B0321,M05,0.9948,100.29
B0322,M05,0.9947,100.69
B0323,M05,1.0041,99.33
B0324,M11,0.9969,99.26
B0325,M05,1.0141,100.87
B0326,M05,1.0076,101.01
B0327,M05,1.0046,101.18
B0328,M05,0.9986,99.80
B0329,M05,1.0200,101.16
B0330,M06,0.9799,99.07
B0331,M05,0.9920,101.00
B0332,M05,1.0128,100.92
B0333,M05,1.0003,100.33
B0334,M05,1.0049,100.83
B0335,M05,1.0113,99.97
B0336,M06,0.9888,99.51
B0337,M06,0.9989,99.27
B0338,M06,0.9979,99.15
B0339,M06,0.9929,99.83
B0340,M06,0.9972,99.67
B0341,M06,1.0087,98.94
B0342,M06,1.0086,98.90
B0343,M06,1.0156,99.27
B0344,M06,0.9988,98.66
B0345,M06,1.0085,100.31
B0346,M06,0.9920,98.30
B0347,M06,0.9936,98.83
B0348,M06,0.9798,98.91
B0349,M06,0.9911,99.84
B0350,M09,1.0057,99.06
B0351,M06,1.0076,99.47
B0352,M06,0.9956,100.39
B0353,M06,0.9993,98.20
B0354,M06,0.9910,98.78
B0355,M06,0.9897,98.94
B0356,M06,0.9912,98.52
B0357,M06,0.9989,97.97
B0358,M06,1.0099,99.96
B0359,M12,1.0073,101.61
B0360,M06,0.9916,99.42
B0361,M06,1.0167,98.57
B0362,M06,0.9943,100.57
B0363,M06,0.9995,99.83
B0364,M06,1.0001,99.22
B0365,M04,1.0156,99.82
B0366,M06,0.9935,99.20
B0367,M06,0.9992,99.62
B0368,M06,0.9965,98.31
B0369,M06,1.0029,99.17
B0370,M06,1.0156,98.85
B0371,M06,1.0096,98.78
B0372,M06,0.9848,99.25
B0373,M06,0.9862,99.75
B0374,M06,0.9985,99.39
B0375,M06,0.9932,98.97
B0376,M06,0.9951,99.44
B0377,M06,0.9951,99.22
B0378,M06,0.9911,99.15
B0379,M06,1.0004,98.77
B0380,M06,1.0071,100.14
B0381,M06,1.0029,100.05
B0382,M06,0.9990,98.85
B0383,M06,1.0026,99.04
B0384,M06,0.9802,
B0385,M06,0.9990,100.17
B0386,M06,1.0011,99.44
B0387,M06,0.9996,99.24
B0388,M06,0.9865,98.54
B0389,M06,1.0000,99.33
B0390,M06,0.9925,99.52
B0391,M05,1.0160,101.49
B0392,M06,0.9992,98.73
B0393,M06,0.9879,100.07
B0394,M06,0.9990,98.95
B0395,M06,0.9991,99.50
B0396,M06,0.9927,98.87
B0397,M06,0.9869,99.84
B0398,M06,1.0025,100.29
B0399,M06,1.0031,99.53
B0400,M06,0.9929,98.87
B0401,M06,1.0039,98.78
B0402,M06,0.9869,99.08
B0403,M07,0.9946,100.12
B0404,M07,1.0026,99.17
B0405,M07,0.9948,100.50
B0406,M07,0.9930,99.78
B0407,M07,1.0037,100.57
B0408,M07,1.0005,99.71
B0409,M07,0.9901,100.29
B0410,M07,1.0004,100.52
B0411,M07,1.0064,100.35
B0412,M07,0.9954,99.80
B0413,M07,1.0040,100.84
B0414,M07,0.9962,101.02
B0415,M07,1.0111,101.62
B0416,M08,1.0055,101.14
B0417,M12,0.9966,101.11
B0418,M07,1.0096,99.90
B0419,M07,1.0223,99.79
B0420,M11,0.9904,100.73
B0421,M01,1.0122,98.69
B0422,M07,1.0123,101.01
B0423,M07,1.0046,
B0424,M07,1.0101,98.94
B0425,M07,0.9901,99.97
B0426,M07,1.0125,100.84
B0427,M07,1.0066,100.63
B0428,M07,1.0083,101.22
B0429,M07,1.0017,100.21
B0430,M07,1.0151,100.29
B0431,M07,1.0091,99.72
B0432,M07,0.9949,99.31
B0433,M07,0.9841,99.13
B0434,M07,1.0066,101.37
B0435,M07,0.9863,100.44
B0436,M07,1.0025,100.68
B0437,M12,1.0173,101.40
B0438,M07,0.9896,100.84
B0439,M07,1.0014,101.14
B0440,M07,1.0101,99.67
B0441,M07,1.0032,100.83
B0442,M07,1.0037,100.46
B0443,M03,1.0011,100.89
B0444,M07,1.0045,100.40
B0445,M07,1.0007,100.39
B0446,M07,1.0072,101.12
B0447,M07,1.0030,100.12
B0448,M07,1.0067,99.83
B0449,M07,0.9783,100.04
B0450,M07,0.9991,101.62
B0451,M07,0.9886,100.58
B0452,M07,0.9984,99.47
B0453,M07,1.0110,99.87
B0454,M07,1.0004,101.53
B0455,M07,0.9881,99.86
B0456,M07,1.0004,100.45
B0457,M07,1.0022,99.72
B0458,M07,0.9959,101.14
B0459,M08,0.9979,102.72
B0460,M07,1.0044,100.18
B0461,M07,1.0141,101.03
B0462,M08,0.9963,101.52
B0463,M07,0.9960,99.62
B0464,M07,0.9997,100.06
B0465,M07,1.0087,100.34
B0466,M07,1.0117,100.29
B0467,M07,1.0156,99.89
B0468,M07,1.0117,100.72
B0469,M07,0.9993,99.71
B0470,M08,1.0158,101.05
B0471,M08,0.9940,100.75
B0472,M03,1.0100,100.91
B0473,M08,1.0099,102.30
B0474,M08,1.0023,99.95
B0475,M08,0.9988,101.66
B0476,M08,1.0082,100.91
B0477,M08,1.0118,100.55
B0478,M08,1.0077,100.44
B0479,M08,1.0146,100.29
B0480,M12,1.0031,101.29
B0481,M08,1.0146,101.73
B0482,M08,1.0135,101.38
B0483,M08,1.0106,101.00
B0484,M08,0.9907,100.82
B0485,M08,1.0099,102.20
B0486,M04,0.9979,101.00
B0487,M08,1.0165,101.97
B0488,M08,0.9981,100.63
B0489,M08,0.9972,101.75
B0490,M08,1.0172,102.44
B0491,M08,1.0059,101.16
B0492,M08,0.9931,101.20
B0493,M08,1.0279,100.05
B0494,M08,1.0037,101.67
B0495,M08,0.9969,101.99
B0496,M11,0.9966,99.28
B0497,M08,1.0106,100.71
B0498,M08,1.0060,101.38
B0499,M08,1.0281,101.29
B0500,M11,0.9974,99.68
B0501,M08,1.0167,100.81
B0502,M08,0.9978,101.73
B0503,M08,1.0116,101.04
B0504,M08,0.9958,100.08
B0505,M08,0.9963,101.62
B0506,M08,1.0004,101.38
B0507,M08,1.0136,101.47
B0508,M08,1.0038,101.52
B0509,M08,0.9986,101.43
B0510,M08,1.0045,101.07
B0511,M08,1.0036,101.48
B0512,M08,0.9983,101.30
B0513,M07,0.9969,101.69
B0514,M08,1.0073,100.71
B0515,M08,1.0038,101.91
B0516,M08,0.9925,101.35
B0517,M08,1.0029,
B0518,M02,1.0051,99.87
B0519,M08,1.0008,101.90
B0520,M01,1.0069,99.55
B0521,M01,0.9797,98.75
B0522,M08,1.0048,100.53
B0523,M08,1.0114,101.61
B0524,M08,1.0030,101.33
B0525,M09,1.0097,99.54
B0526,M08,1.0006,100.99
B0527,M08,1.0035,101.29
B0528,M08,1.0049,101.60
B0529,M08,1.0099,102.09
B0530,M08,1.0028,101.44
B0531,M08,0.9990,100.67
B0532,M08,1.0011,100.87
B0533,M08,0.9958,101.34
B0534,M08,1.0057,101.69
B0535,M08,0.9908,100.62
B0536,M08,1.0093,99.92
B0537,M09,0.9940,99.56
B0538,M09,1.0120,99.18
B0539,M08,1.0031,101.53
B0540,M09,1.0085,98.70
B0541,M09,0.9950,99.07
B0542,M12,1.0020,100.97
B0543,M09,1.0005,98.59
B0544,M09,0.9992,98.55
B0545,M09,1.0017,98.72
B0546,M09,0.9888,99.69
B0547,M04,1.0023,99.70
B0548,M09,0.9836,99.03
B0549,M09,1.0021,99.69
B0550,M09,1.0009,100.32
B0551,M09,1.0054,99.62
B0552,M07,0.9965,100.21
B0553,M09,1.0026,99.88
B0554,M09,1.0119,99.18
B0555,M09,1.0191,98.88
B0556,M05,1.0103,101.27
B0557,M09,0.9879,99.39
B0558,M09,0.9969,99.86
B0559,M09,1.0064,100.74
B0560,M02,1.0133,99.70
B0561,M09,0.9852,99.88
B0562,M09,1.0059,99.31
B0563,M09,0.9943,99.59
B0564,M09,0.9973,99.31
B0565,M09,1.0134,100.17
B0566,M09,0.9848,98.79
B0567,M11,1.0004,100.40
B0568,M09,1.0175,98.83
B0569,M09,1.0013,98.68
B0570,M09,0.9891,100.07
B0571,M09,0.9931,99.10
B0572,M09,0.9841,99.57
B0573,M09,1.0058,99.31
B0574,M09,0.9883,98.40
B0575,M09,0.9964,100.34
B0576,M09,0.9928,100.40
B0577,M09,0.9993,99.29
B0578,M09,0.9867,99.19
B0579,M09,0.9962,99.38
B0580,M09,0.9939,100.39
B0581,M05,1.0011,100.81
B0582,M04,0.9966,99.03
B0583,M02,1.0044,99.54
B0584,M09,0.9959,100.37
B0585,M11,1.0016,99.26
B0586,M11,1.0193,99.69
B0587,M09,1.0073,99.26
B0588,M09,0.9906,100.04
B0589,M09,0.9920,99.15
B0590,M09,1.0102,100.31
B0591,M09,0.9946,99.76
B0592,M09,1.0037,100.19
B0593,M09,0.9904,100.54
B0594,M03,1.0058,100.68
B0595,M09,1.0119,99.67
B0596,M11,1.0016,98.72
B0597,M09,0.9721,99.28
B0598,M09,0.9868,98.53
B0599,M09,0.9966,98.21
B0600,M09,0.9848,99.49
B0601,M12,0.9977,101.69
B0602,M09,1.0039,100.13
B0603,M09,1.0091,99.23
B0604,M10,1.0054,101.21
B0605,M10,0.9881,101.92
B0606,M10,1.0008,99.95
B0607,M10,1.0042,99.29
B0608,M10,0.9946,101.22
B0609,M10,0.9879,100.72
B0610,M10,0.9913,101.43
B0611,M08,0.9951,100.53
B0612,M10,1.0221,100.93
B0613,M04,0.9900,99.45
B0614,M04,1.0011,99.83
B0615,M11,1.0043,100.69
B0616,M10,0.9928,100.45
B0617,M10,0.9989,101.20
B0618,M05,1.0030,102.04
B0619,M06,1.0032,100.46
B0620,M10,1.0188,100.66
B0621,M10,0.9864,101.99
B0622,M10,0.9955,100.12
B0623,M10,0.9867,101.46
B0624,M10,1.0057,99.94
B0625,M10,0.9965,100.63
B0626,M10,1.0040,100.60
B0627,M11,0.9961,100.02
B0628,M10,1.0037,101.17
B0629,M05,1.0028,100.51
B0630,M10,1.0125,100.45
B0631,M10,1.0014,101.03
B0632,M10,0.9942,101.28
B0633,M03,1.0136,100.94
B0634,M10,1.0195,100.61
B0635,M10,1.0173,100.97
B0636,M10,1.0016,99.49
B0637,M10,1.0103,100.17
B0638,M09,1.0065,99.59
B0639,M10,1.0040,100.84
B0640,M10,1.0024,100.90
B0641,M10,1.0069,100.65
B0642,M10,1.0013,100.91
B0643,M10,1.0192,100.17
B0644,M10,0.9900,99.67
B0645,M10,0.9886,100.98
B0646,M02,0.9995,100.04
B0647,M10,0.9942,101.00
B0648,M10,1.0002,100.45
B0649,M10,1.0234,100.50
B0650,M10,0.9952,99.86
B0651,M10,0.9973,99.80
B0652,M10,1.0233,101.87
B0653,M10,1.0186,101.69
B0654,M02,1.0076,99.99
B0655,M10,0.9940,101.09
B0656,M09,1.0009,99.61
B0657,M10,1.0032,100.37
B0658,M10,0.9936,101.94
B0659,M10,0.9906,99.84
B0660,M10,1.0095,100.64
B0661,M08,0.9984,100.58
B0662,M10,1.0115,101.00
B0663,M01,0.9777,99.51
B0664,M10,1.0078,100.55
B0665,M10,0.9943,100.50
B0666,M10,1.0181,99.89
B0667,M06,0.9826,98.48
B0668,M03,0.9929,100.22
B0669,M10,1.0030,101.02
B0670,M10,1.0033,100.85
B0671,M11,0.9920,100.86
B0672,M11,1.0015,100.25
B0673,M11,1.0051,100.20
B0674,M11,0.9870,98.13
B0675,M11,0.9960,100.53
B0676,M11,1.0068,99.67
B0677,M11,0.9965,100.79
B0678,M11,1.0157,99.79
B0679,M11,0.9875,99.29
B0680,M11,0.9967,101.77
B0681,M08,1.0134,101.33
B0682,M06,1.0109,99.79
B0683,M11,1.0153,100.25
B0684,M11,1.0176,100.28
B0685,M11,0.9866,99.38
B0686,M11,1.0093,99.86
B0687,M06,0.9919,99.83
B0688,M11,1.0023,99.89
B0689,M11,0.9966,99.13
B0690,M11,1.0009,99.26
B0691,M11,0.9925,99.44
B0692,M11,0.9995,100.10
B0693,M11,1.0134,99.98
B0694,M11,0.9974,100.77
B0695,M11,0.9996,99.74
B0696,M11,0.9858,100.57
B0697,M11,0.9961,99.69
B0698,M11,1.0059,100.04
B0699,M11,0.9938,101.00
B0700,M11,0.9957,100.71
B0701,M11,1.0119,100.37
B0702,M11,1.0108,99.54
B0703,M11,0.9929,101.16
B0704,M11,0.9853,100.22
B0705,M11,0.9984,99.99
B0706,M11,1.0031,99.32
B0707,M11,1.0061,100.11
B0708,M11,0.9760,98.90
B0709,M11,1.0063,100.24
B0710,M11,1.0154,100.65
B0711,M11,1.0193,100.35
B0712,M11,1.0135,100.05
B0713,M11,0.9854,99.99
B0714,M11,1.0114,99.42
B0715,M11,0.9964,101.20
B0716,M11,1.0138,100.59
B0717,M11,0.9979,99.81
B0718,M11,1.0058,100.14
B0719,M09,0.9866,99.87
B0720,M11,1.0011,99.53
B0721,M11,0.9985,99.35
B0722,M11,1.0022,99.74
B0723,M11,0.9953,100.41
B0724,M11,1.0053,99.61
B0725,M11,1.0010,99.86
B0726,M12,1.0015,102.01
B0727,M11,0.9867,100.84
B0728,M11,0.9947,99.97
B0729,M11,0.9926,99.32
B0730,M11,0.9978,100.47
B0731,M11,0.9994,100.54
B0732,M11,1.0027,99.87
B0733,M11,0.9956,100.59
B0734,M11,1.0030,99.16
B0735,M11,1.0018,99.58
B0736,M11,1.0130,100.94
B0737,M11,0.9818,100.58
B0738,M12,0.9936,101.19
B0739,M12,0.9992,101.20
B0740,M12,1.0283,102.16
B0741,M12,0.9939,101.47
B0742,M02,0.9900,99.49
B0743,M12,1.0058,100.28
B0744,M12,1.0026,100.36
B0745,M12,1.0120,100.75
B0746,M12,1.0158,100.60
B0747,M12,1.0121,101.14
B0748,M12,0.9973,101.17
B0749,M12,1.0051,101.45
B0750,M12,1.0012,100.44
B0751,M11,0.9966,99.87
B0752,M12,1.0123,101.35
B0753,M12,1.0040,102.44
B0754,M12,0.9917,101.30
B0755,M12,1.0040,100.78
B0756,M12,1.0019,101.35
B0757,M12,1.0186,102.15
B0758,M12,1.0062,100.38
B0759,M12,1.0108,
B0760,M12,0.9946,100.82
B0761,M12,1.0066,100.72
B0762,M01,0.9936,99.08
B0763,M12,1.0038,101.87
B0764,M12,1.0055,100.48
B0765,M12,0.9919,102.35
B0766,M12,1.0052,100.13
B0767,M12,1.0062,102.10
B0768,M12,0.9976,100.33
B0769,M12,1.0187,100.88
B0770,M12,1.0065,101.36
B0771,M08,1.0068,101.89
B0772,M12,1.0082,101.33
B0773,M12,1.0027,100.78
B0774,M12,1.0089,101.86
B0775,M12,1.0053,99.89
B0776,M12,1.0177,101.27
B0777,M12,0.9978,101.15
B0778,M12,0.9980,101.49
B0779,M12,1.0208,100.09
B0780,M12,1.0058,100.05
B0781,M12,1.0127,101.86
B0782,M12,1.0243,101.38
B0783,M12,0.9909,100.23
B0784,M12,1.0249,100.83
B0785,M12,1.0075,101.58
B0786,M12,1.0057,100.63
B0787,M12,1.0075,100.14
B0788,M12,1.0098,102.30
B0789,M12,1.0210,101.85
B0790,M12,0.9959,100.37
B0791,M05,1.0074,99.49
B0792,M06,0.9930,97.98
B0793,M12,1.0004,101.43
B0794,M07,0.9951,100.05
B0795,M12,1.0031,101.24
B0796,M12,1.0139,101.20
B0797,M12,0.9936,101.27
B0798,M12,0.9912,99.86
B0799,M12,0.9982,100.84
B0800,M12,0.9959,100.55
