batch_id,viscosity,particle_size,quality_value,yield_pct,quality_flag
B0051,419.0,16.71,98.43,95.97,OK
B0052,433.3,17.58,100.72,97.27,OK
B0053,433.1,18.45,98.98,95.67,OK
B0054,429.3,16.98,100.03,97.42,OK
B0055,440.7,17.71,100.38,97.21,NG
B0056,416.7,16.72,100.30,96.49,OK
B0057,412.5,17.57,98.74,95.29,NG
B0058,440.4,18.05,99.96,96.15,NG
B0059,423.8,16.90,99.77,97.41,OK
B0060,423.1,17.45,100.67,95.60,OK
B0061,422.3,17.77,99.34,97.06,OK
B0062,419.4,18.04,99.62,95.66,OK
B0063,453.2,18.59,98.63,95.14,OK
B0064,415.9,18.03,100.20,95.67,OK
B0065,429.5,18.31,100.52,95.90,OK
B0066,422.6,17.98,100.06,96.90,NG
B0067,404.8,17.24,99.31,95.07,OK
B0068,434.5,17.32,99.17,96.88,OK
B0069,418.6,17.51,99.91,97.03,OK
B0070,423.1,18.12,99.95,96.71,OK
B0071,427.1,18.45,99.39,97.57,OK
B0072,429.7,18.76,99.47,96.40,OK
B0073,424.3,17.29,99.26,95.42,OK
B0074,426.8,18.15,100.56,96.59,OK
B0075,454.9,18.08,98.56,96.78,OK
B0076,449.8,18.56,99.37,95.99,NG
B0077,450.6,18.94,99.59,97.24,OK
B0078,448.0,17.92,98.97,96.89,NG
B0079,434.3,17.83,99.80,96.74,OK
B0080,446.5,16.80,98.57,95.15,OK
B0081,437.5,17.46,99.84,97.49,NG
B0082,441.4,18.07,99.67,97.19,OK
B0083,428.6,17.62,99.46,96.94,OK
B0084,455.6,17.99,100.01,96.92,OK
B0085,450.0,18.93,99.70,95.67,OK
B0086,438.6,17.62,99.99,96.05,NG
B0087,432.0,18.24,99.49,97.21,OK
B0088,416.1,18.48,99.61,96.97,OK
B0089,441.5,18.65,100.27,95.72,OK
B0090,431.5,17.93,100.70,97.61,OK
B0091,449.4,18.25,99.79,96.77,NG
B0092,426.6,18.76,100.05,97.07,OK
B0093,422.5,17.54,101.46,97.29,OK
B0094,464.0,18.99,99.81,96.25,OK
B0095,432.1,18.26,99.86,97.12,OK
B0096,417.1,19.20,99.39,96.81,NG
B0097,422.7,17.96,100.25,96.72,OK
B0098,426.5,18.36,100.05,97.21,OK
B0099,448.7,18.24,99.04,95.86,NG
B0100,430.7,18.30,99.14,97.54,OK
B0101,420.8,17.60,100.23,97.33,NG
B0102,427.8,18.37,99.75,96.77,NG
B0103,424.8,16.93,99.58,97.18,OK
B0104,411.9,18.20,99.54,95.89,OK
B0105,462.0,18.98,99.80,96.06,OK
B0106,439.1,19.22,99.52,95.21,OK
B0107,416.3,17.50,100.24,97.25,OK
B0108,439.1,17.82,99.81,96.31,OK
B0109,429.6,18.08,100.31,97.80,OK
B0110,446.2,18.72,100.22,95.75,OK
B0111,386.4,16.27,98.48,95.36,OK
B0112,466.3,18.37,99.90,96.74,OK
B0113,441.2,18.02,100.51,96.62,NG
B0114,433.4,17.39,98.37,96.04,OK
B0115,447.3,17.54,100.57,97.39,NG
B0116,437.5,17.24,99.89,97.41,OK
B0117,451.2,17.57,99.11,96.20,NG
B0118,454.1,17.46,98.87,96.20,OK
B0119,440.2,18.65,99.61,97.04,OK
B0120,424.9,17.99,99.65,97.17,OK
B0121,438.9,17.69,99.63,97.14,OK
B0122,451.7,18.43,99.08,95.82,OK
B0123,447.6,19.11,100.36,95.82,OK
B0124,433.5,18.83,99.19,95.92,OK
B0125,437.6,18.53,100.17,96.30,OK
B0126,440.6,18.33,99.72,95.92,OK
B0127,,17.07,100.07,96.73,OK
B0128,405.1,17.42,100.03,96.48,OK
B0129,439.4,18.15,99.02,96.84,OK
B0130,443.8,18.76,99.52,96.30,OK
B0131,446.7,17.18,100.35,96.82,OK
B0132,383.3,16.17,99.34,98.70,OK
B0133,421.5,17.67,99.45,95.85,NG
B0134,439.8,18.82,99.86,96.96,NG
B0135,428.9,18.33,100.14,96.51,OK
B0136,404.2,17.73,99.33,96.32,OK
B0137,442.9,19.13,99.18,96.24,OK
B0138,420.7,18.28,100.16,96.89,NG
B0139,445.8,18.83,100.13,96.76,OK
B0140,456.1,19.37,99.70,96.77,OK
B0141,426.4,17.87,99.23,96.96,OK
B0142,439.0,18.75,100.18,96.32,OK
B0143,468.7,18.33,99.99,96.00,OK
B0144,433.5,18.12,99.93,96.50,OK
B0145,406.0,18.33,100.35,96.68,OK
B0146,434.5,17.93,99.89,96.70,OK
B0147,429.0,18.96,98.99,97.27,NG
B0148,433.9,18.50,99.73,96.61,OK
B0149,444.5,18.20,99.26,96.51,OK
B0150,439.2,19.09,99.70,97.52,OK
B0151,447.9,18.86,99.62,97.61,OK
B0152,442.3,17.91,100.27,96.35,OK
B0153,443.3,19.31,99.16,96.77,OK
B0154,450.8,18.96,100.38,96.53,OK
B0155,432.2,18.04,99.98,97.53,OK
B0156,436.2,17.01,100.20,96.90,OK
B0157,447.1,19.33,98.86,94.69,OK
B0158,413.2,16.77,100.08,96.99,OK
B0159,426.4,17.51,100.06,96.65,OK
B0160,447.4,17.98,99.17,95.60,OK
B0161,435.2,18.49,98.00,94.91,OK
B0162,438.3,18.73,98.98,96.09,OK
B0163,453.8,18.05,98.95,96.54,OK
B0164,442.3,17.14,98.62,95.59,OK
B0165,414.5,17.34,99.33,95.66,OK
B0166,442.3,19.21,99.59,96.17,OK
B0167,421.9,18.44,98.57,97.19,OK
B0168,454.3,18.17,99.77,95.11,OK
B0169,448.4,18.59,99.54,95.90,NG
B0170,451.8,18.75,99.53,96.60,NG
B0171,420.4,17.67,99.85,97.17,OK
B0172,455.0,18.58,100.08,96.23,OK
B0173,448.8,18.92,99.70,97.52,OK
B0174,431.6,18.47,100.38,97.19,OK
B0175,459.0,19.22,99.30,96.62,OK
B0176,437.8,18.79,99.58,95.87,OK
B0177,425.9,18.06,99.86,97.93,OK
B0178,439.2,19.19,99.78,97.12,OK
B0179,429.4,17.31,100.02,95.62,OK
B0180,445.8,19.48,100.55,96.50,OK
B0181,428.5,18.49,100.41,97.28,OK
B0182,450.9,18.15,100.07,96.39,OK
B0183,434.1,18.96,99.42,96.08,NG
B0184,439.7,19.10,99.33,96.76,OK
B0185,470.8,19.53,99.16,95.81,NG
B0186,410.0,18.79,100.05,98.44,OK
B0187,454.3,18.29,99.61,96.10,OK
B0188,419.6,16.84,98.00,95.54,OK
B0189,420.6,18.46,100.03,98.23,OK
B0190,427.9,17.62,99.16,96.77,OK
B0191,419.7,17.97,98.39,95.98,NG
B0192,425.1,17.94,99.33,95.83,OK
B0193,423.4,17.72,99.83,96.90,OK
B0194,413.7,17.44,100.43,96.91,OK
B0195,453.6,17.81,99.71,96.82,NG
B0196,444.4,18.26,98.90,94.83,OK
B0197,451.9,18.51,100.41,97.06,OK
B0198,451.5,18.11,99.08,95.61,OK
B0199,417.0,16.73,99.75,96.45,OK
B0200,437.0,18.62,99.07,96.22,OK
B0201,437.6,19.80,98.85,98.15,OK
B0202,439.5,17.97,100.36,96.13,OK
B0203,427.3,17.52,100.02,95.66,OK
B0204,438.8,18.61,99.87,97.10,OK
B0205,451.4,17.93,99.65,96.21,OK
B0206,447.7,18.81,98.20,96.55,OK
B0207,434.6,17.26,100.04,95.57,OK
B0208,438.7,17.53,99.18,95.92,OK
B0209,416.0,17.56,99.75,96.24,OK
B0210,421.7,17.77,99.17,95.79,OK
B0211,429.5,19.10,98.94,96.22,OK
B0212,430.6,17.33,99.58,95.99,OK
B0213,435.2,17.71,99.29,96.52,OK
B0214,426.5,18.39,101.13,98.70,OK
B0215,416.4,16.32,99.76,96.22,OK
B0216,402.1,16.88,100.07,96.32,OK
B0217,435.6,17.31,99.92,96.31,OK
B0218,452.2,18.65,99.10,94.74,OK
B0219,404.9,16.00,99.36,96.50,OK
B0220,410.5,17.03,99.47,96.76,OK
B0221,445.4,18.15,99.94,96.59,OK
B0222,412.9,18.20,99.08,96.31,OK
B0223,419.6,17.16,100.00,95.26,OK
B0224,431.7,17.35,100.67,97.51,OK
B0225,434.0,18.29,100.26,95.78,OK
B0226,460.8,19.78,99.40,96.81,OK
B0227,429.2,17.97,100.07,98.14,OK
B0228,431.0,18.24,99.69,96.07,OK
B0229,419.0,17.26,99.82,95.48,OK
B0230,431.5,18.44,100.58,95.43,OK
B0231,430.7,18.93,99.83,97.32,OK
B0232,401.7,18.44,99.65,97.30,OK
B0233,426.8,17.83,99.31,95.86,OK
B0234,422.4,16.84,99.12,96.70,OK
B0235,442.5,19.46,99.53,96.16,OK
B0236,437.7,18.17,100.17,95.77,OK
B0237,425.7,17.98,100.48,96.75,OK
B0238,452.9,18.81,99.67,95.82,OK
B0239,449.4,18.58,100.26,96.79,NG
B0240,430.7,16.84,100.91,96.87,OK
B0241,415.0,17.78,99.77,96.27,NG
B0242,418.9,17.35,99.64,97.42,OK
B0243,414.5,17.15,99.97,96.80,OK
B0244,437.8,17.78,100.31,96.48,NG
B0245,406.2,18.62,99.09,96.65,OK
B0246,437.8,17.92,100.17,96.81,OK
B0247,448.7,18.11,98.95,96.11,OK
B0248,427.6,17.97,100.13,96.31,NG
B0249,437.6,18.79,100.12,95.74,NG
B0250,410.9,17.24,99.59,96.14,OK
B0251,443.5,19.15,99.17,97.10,OK
B0252,431.1,18.15,100.49,96.42,OK
B0253,424.2,17.69,100.12,96.07,OK
B0254,441.7,18.27,100.47,96.81,NG
B0255,432.9,17.14,100.42,95.98,OK
B0256,423.4,18.35,99.48,96.87,OK
B0257,446.7,18.11,99.15,95.65,NG
B0258,444.4,19.20,99.31,97.85,OK
B0259,448.2,18.62,99.14,97.60,OK
B0260,452.2,18.46,99.63,96.39,OK
B0261,448.6,18.83,98.91,96.56,OK
B0262,413.8,19.06,100.33,95.93,OK
B0263,393.7,18.20,98.89,95.12,OK
B0264,431.0,17.91,100.36,96.71,OK
B0265,413.1,17.06,99.71,95.95,OK
B0266,432.1,18.51,99.26,95.92,OK
B0267,413.2,17.32,98.89,96.97,OK
B0268,423.6,17.58,100.12,96.02,NG
B0269,441.4,18.49,99.42,96.06,OK
B0270,430.1,17.75,100.42,95.80,OK
B0271,442.2,19.21,99.70,96.38,OK
B0272,435.1,18.31,99.73,96.62,OK
B0273,451.6,18.02,99.92,95.93,NG
B0274,439.9,17.66,99.78,96.66,OK
B0275,429.3,17.97,100.69,95.83,OK
B0276,448.8,18.98,99.81,96.63,OK
B0277,431.4,18.09,99.61,95.39,OK
B0278,435.0,18.19,99.57,97.50,OK
B0279,418.4,17.63,99.45,97.25,OK
B0280,450.3,18.63,99.78,97.00,OK
B0281,441.3,17.98,99.46,96.95,OK
B0282,435.9,18.04,99.96,96.82,OK
B0283,422.8,17.91,98.84,96.13,OK
B0284,417.2,18.17,100.38,97.16,OK
B0285,452.1,17.71,98.24,95.82,NG
B0286,423.2,17.54,99.77,95.63,OK
B0287,415.0,18.28,99.69,96.20,OK
B0288,432.2,18.80,99.22,97.07,OK
B0289,422.3,18.11,100.41,96.92,OK
B0290,446.7,18.00,99.94,96.17,OK
B0291,442.6,19.04,99.40,95.72,OK
B0292,433.0,18.01,99.59,96.40,NG
B0293,421.3,17.16,98.97,96.96,OK
B0294,435.4,18.04,99.95,96.15,OK
B0295,431.2,18.37,99.11,96.30,OK
B0296,413.1,17.34,99.27,94.85,OK
B0297,397.8,16.94,100.46,96.25,NG
B0298,469.4,18.66,100.00,96.21,OK
B0299,434.6,18.57,99.12,96.67,OK
B0300,423.5,17.66,99.74,96.39,OK
B0301,438.1,17.46,100.25,97.06,NG
B0302,447.2,18.48,98.87,94.51,OK
B0303,445.4,17.17,100.07,97.11,OK
B0304,423.0,18.27,99.51,96.99,OK
B0305,441.8,17.97,100.31,96.85,OK
B0306,428.8,18.55,99.10,95.04,NG
B0307,400.4,17.45,100.10,97.62,OK
B0308,456.1,16.71,100.09,96.86,OK
B0309,428.7,18.31,97.51,96.65,NG
B0310,460.8,17.96,100.01,95.82,OK
B0311,425.9,18.10,98.89,96.62,OK
B0312,451.6,18.63,98.41,95.92,OK
B0313,457.6,18.64,99.83,97.95,OK
B0314,439.4,18.67,99.91,96.59,OK
B0315,461.2,18.87,99.87,96.32,OK
B0316,445.9,18.32,98.72,97.33,OK
B0317,451.4,18.44,99.22,95.24,NG
B0318,435.7,17.06,99.85,95.70,OK
B0319,432.3,18.49,99.86,96.56,NG
B0320,455.4,18.48,99.99,97.30,OK
B0321,414.7,17.19,99.57,96.59,NG
B0322,419.0,18.35,99.49,96.50,OK
B0323,433.4,17.04,98.61,98.41,OK
B0324,401.6,17.61,100.32,97.25,OK
B0325,443.1,17.54,99.40,95.60,NG
B0326,444.1,19.13,99.88,96.57,OK
B0327,431.1,18.40,99.63,95.83,OK
B0328,,17.81,100.18,97.12,OK
B0329,454.5,18.30,99.25,97.63,OK
B0330,390.9,17.56,98.57,96.39,NG
B0331,439.1,19.07,99.62,96.35,OK
B0332,441.8,17.93,99.01,95.98,OK
B0333,423.8,17.74,99.93,97.12,NG
B0334,435.7,17.46,99.71,96.96,OK
B0335,424.8,17.15,99.19,97.38,OK
B0336,417.8,17.44,99.51,96.34,NG
B0337,408.2,17.70,98.97,95.96,NG
B0338,434.1,17.59,100.30,96.49,OK
B0339,445.9,18.50,99.74,95.48,OK
B0340,415.3,18.36,99.85,96.47,OK
B0341,425.1,17.57,100.70,97.38,OK
B0342,419.4,17.54,99.47,96.81,OK
B0343,399.9,16.96,99.31,95.22,OK
B0344,429.1,17.22,99.68,96.81,OK
B0345,437.9,18.10,98.44,95.65,NG
B0346,390.0,16.64,97.96,95.60,OK
B0347,430.5,17.21,100.20,96.98,NG
B0348,410.5,19.60,99.53,97.26,OK
B0349,407.0,17.73,100.11,96.84,OK
B0350,430.2,18.16,98.57,97.50,OK
B0351,431.0,17.79,99.48,95.82,OK
B0352,432.7,17.93,100.05,96.31,OK
B0353,427.7,16.40,99.51,96.40,OK
B0354,388.5,18.14,99.30,96.28,OK
B0355,418.7,17.23,100.83,97.45,OK
B0356,407.2,18.09,100.30,96.57,OK
B0357,387.0,17.52,99.43,95.42,OK
B0358,447.8,17.73,99.61,97.53,OK
B0359,453.1,19.04,100.17,96.24,OK
B0360,413.4,17.20,99.32,95.92,OK
B0361,398.2,18.64,98.89,96.05,NG
B0362,457.2,17.38,100.76,95.56,OK
B0363,445.3,18.01,99.46,97.53,OK
B0364,423.4,18.57,99.42,95.39,NG
B0365,462.7,19.42,99.30,96.43,OK
B0366,433.8,18.26,99.10,96.11,NG
B0367,412.2,17.48,99.86,97.63,OK
B0368,421.2,18.65,99.62,96.32,OK
B0369,433.5,17.98,99.23,96.16,OK
B0370,418.3,17.61,99.57,96.71,OK
B0371,431.5,17.11,99.29,95.95,OK
B0372,408.2,17.77,99.85,97.11,OK
B0373,424.7,17.70,100.03,96.05,OK
B0374,416.9,17.96,99.25,96.81,OK
B0375,417.0,18.40,100.64,96.06,NG
B0376,436.0,18.46,99.64,96.39,OK
B0377,412.2,17.83,100.81,95.98,OK
B0378,408.1,16.96,99.69,97.37,OK
B0379,428.6,17.54,99.40,96.68,OK
B0380,422.6,17.73,99.73,95.32,OK
B0381,446.7,17.30,99.62,95.83,OK
B0382,408.0,16.98,99.91,96.68,OK
B0383,431.3,18.53,99.36,96.13,OK
B0384,416.8,17.86,99.88,96.34,OK
B0385,434.4,18.07,98.92,96.98,OK
B0386,434.9,18.19,99.84,96.40,OK
B0387,427.9,18.66,100.23,96.67,OK
B0388,426.2,18.02,99.56,95.55,OK
B0389,418.2,17.91,99.48,96.03,OK
B0390,418.1,17.40,99.26,96.58,OK
B0391,451.0,18.76,100.44,97.24,OK
B0392,406.4,17.91,100.69,96.18,OK
B0393,442.5,17.92,98.62,97.24,OK
B0394,430.0,17.58,99.06,96.23,OK
B0395,409.2,17.09,99.73,95.88,OK
B0396,419.7,16.93,99.35,96.89,NG
B0397,420.6,18.91,100.05,97.37,OK
B0398,419.5,17.49,98.73,96.87,OK
B0399,454.4,17.38,99.95,97.04,OK
B0400,423.5,17.29,99.27,97.67,OK
B0401,448.0,16.93,99.96,96.87,NG
B0402,416.1,17.98,100.26,97.48,OK
B0403,422.5,18.02,100.15,96.76,OK
B0404,425.2,18.88,99.96,95.97,OK
B0405,409.5,17.42,99.41,97.15,OK
B0406,441.7,17.98,99.06,95.64,NG
B0407,431.1,18.19,100.18,97.13,OK
B0408,416.4,18.64,98.58,95.81,OK
B0409,442.4,18.12,99.63,96.98,OK
B0410,436.4,18.52,99.73,96.64,NG
B0411,450.5,18.76,99.55,95.73,NG
B0412,436.3,18.11,99.41,96.40,OK
B0413,409.3,16.84,99.75,97.27,OK
B0414,436.4,17.66,100.25,97.46,OK
B0415,468.0,18.69,99.11,96.81,OK
B0416,437.4,18.73,99.48,95.92,OK
B0417,426.8,17.09,99.59,96.87,OK
B0418,471.1,18.41,99.48,96.14,OK
B0419,431.1,17.16,99.99,96.89,OK
B0420,438.9,17.91,97.75,94.94,OK
B0421,419.8,16.90,100.55,96.23,NG
B0422,,19.18,99.19,95.80,OK
B0423,449.8,17.40,99.77,96.79,OK
B0424,456.8,16.88,98.49,96.13,OK
B0425,442.4,18.05,99.52,96.45,NG
B0426,453.1,18.05,100.10,96.56,NG
B0427,432.2,17.72,99.23,96.35,OK
B0428,438.2,18.14,99.70,96.85,OK
B0429,427.7,18.14,100.43,96.30,OK
B0430,423.1,18.39,99.75,96.80,OK
B0431,430.3,17.75,98.58,96.67,OK
B0432,446.7,18.32,99.26,95.66,OK
B0433,419.6,18.61,99.57,96.01,OK
B0434,437.9,17.79,99.76,95.98,OK
B0435,416.3,17.90,99.37,96.56,OK
B0436,413.5,17.77,99.90,96.60,OK
B0437,445.3,16.96,99.48,96.57,OK
B0438,454.6,18.86,98.71,95.58,OK
B0439,464.8,17.99,99.44,95.63,NG
B0440,421.9,16.69,98.52,97.31,OK
B0441,427.4,18.12,99.76,96.56,NG
B0442,429.6,18.74,100.16,95.33,NG
B0443,461.1,17.78,99.63,96.07,OK
B0444,416.4,17.77,99.05,95.69,NG
B0445,398.5,18.17,99.62,96.42,OK
B0446,420.7,19.52,99.31,97.06,NG
B0447,426.1,17.95,100.21,96.41,OK
B0448,416.9,18.03,99.58,97.41,OK
B0449,442.7,18.84,99.61,98.41,OK
B0450,446.2,19.12,98.94,96.22,OK
B0451,448.6,18.20,99.71,96.77,NG
B0452,434.8,17.46,98.98,95.99,OK
B0453,453.1,17.99,100.29,97.52,OK
B0454,431.3,17.89,100.57,96.87,OK
B0455,413.4,18.16,99.70,96.25,OK
B0456,437.8,18.57,99.68,97.20,OK
B0457,423.9,18.00,100.72,97.01,OK
B0458,426.2,18.06,99.31,96.21,OK
B0459,447.1,18.72,99.22,95.69,OK
B0460,412.0,17.90,100.39,96.10,OK
B0461,438.8,18.18,100.22,95.43,OK
B0462,445.8,17.67,98.83,95.96,OK
B0463,423.0,18.75,100.56,97.47,NG
B0464,437.1,18.81,99.46,96.15,OK
B0465,442.0,17.64,100.72,97.62,OK
B0466,426.0,18.24,99.63,96.15,OK
B0467,478.8,19.42,98.31,94.98,OK
B0468,426.2,18.07,100.25,96.54,OK
B0469,440.9,18.50,100.43,97.71,OK
B0470,452.0,18.61,99.78,96.39,OK
B0471,465.1,17.93,99.55,97.00,NG
B0472,441.0,17.70,100.05,96.86,OK
B0473,449.1,19.26,98.91,94.96,NG
B0474,443.1,18.19,98.47,95.23,OK
B0475,427.6,17.42,99.07,96.74,OK
B0476,451.3,18.40,99.74,96.07,NG
B0477,443.8,18.41,100.17,96.87,OK
B0478,433.0,19.00,99.77,95.79,OK
B0479,431.4,17.31,99.47,96.50,OK
B0480,462.9,18.46,99.99,96.09,OK
B0481,452.2,18.35,100.05,97.06,OK
B0482,431.1,18.09,98.51,97.40,NG
B0483,423.0,17.43,99.50,95.97,NG
B0484,411.4,18.19,99.84,96.66,NG
B0485,438.4,19.50,99.97,95.87,OK
B0486,429.7,17.46,99.61,96.71,OK
B0487,436.5,19.65,99.12,95.46,OK
B0488,451.7,17.66,99.22,97.94,OK
B0489,441.2,19.19,100.29,96.62,OK
B0490,424.6,18.38,99.63,96.84,OK
B0491,467.6,18.55,99.06,94.80,OK
B0492,454.9,18.45,99.48,96.52,OK
B0493,405.4,17.52,100.07,97.33,OK
B0494,460.6,19.11,99.21,97.12,OK
B0495,461.5,18.78,98.97,96.47,OK
B0496,419.3,18.02,99.56,96.03,NG
B0497,433.8,19.02,99.86,97.68,OK
B0498,443.9,18.26,99.98,95.93,OK
B0499,454.4,18.40,99.58,97.42,OK
B0500,410.1,17.56,99.85,96.04,OK
B0501,426.5,18.34,99.61,97.00,OK
B0502,460.3,19.15,99.28,95.86,OK
B0503,452.1,17.75,100.04,97.26,OK
B0504,411.6,17.47,100.73,96.67,OK
B0505,450.0,19.26,99.56,95.43,OK
B0506,417.6,17.77,100.15,96.24,OK
B0507,444.6,18.64,99.08,97.78,OK
B0508,435.1,17.94,99.67,96.65,OK
B0509,440.1,19.10,99.61,96.40,OK
B0510,462.0,16.74,99.41,97.58,NG
B0511,467.3,18.67,99.89,96.16,OK
B0512,426.7,18.05,100.62,97.15,OK
B0513,427.9,18.06,99.98,97.26,OK
B0514,447.7,18.33,100.75,97.96,OK
B0515,457.1,19.79,99.85,96.87,OK
B0516,451.5,17.69,99.56,95.53,NG
B0517,409.0,18.76,99.86,97.86,OK
B0518,440.1,18.72,100.11,97.17,OK
B0519,431.6,18.63,99.36,96.50,OK
B0520,433.8,20.02,99.11,96.29,OK
B0521,383.2,17.62,98.73,96.02,OK
B0522,457.5,18.50,99.77,95.17,OK
B0523,434.9,18.46,99.25,96.78,OK
B0524,458.3,18.92,99.39,95.77,OK
B0525,444.7,18.62,99.87,95.81,OK
B0526,452.8,18.15,99.07,96.22,OK
B0527,456.5,19.24,99.09,96.00,NG
B0528,439.9,18.43,100.21,95.29,OK
B0529,443.4,18.46,99.45,95.53,OK
B0530,449.2,18.86,99.67,96.55,NG
B0531,418.2,17.02,99.75,96.46,NG
B0532,441.1,18.90,100.38,96.77,OK
B0533,447.5,18.23,99.32,96.70,OK
B0534,443.4,18.55,98.31,94.52,OK
B0535,442.7,17.74,99.16,96.57,OK
B0536,419.4,18.79,100.19,97.13,OK
B0537,408.1,17.73,99.71,95.68,OK
B0538,433.4,18.27,98.93,96.72,OK
B0539,443.0,17.73,99.88,96.96,OK
B0540,439.1,17.97,99.25,93.98,OK
B0541,437.1,17.99,99.32,96.11,OK
B0542,440.3,18.67,100.63,95.65,NG
B0543,437.2,18.08,99.04,96.78,OK
B0544,439.1,18.45,98.61,96.39,OK
B0545,425.9,17.53,99.07,94.53,OK
B0546,435.6,18.27,99.21,96.86,OK
B0547,436.4,17.71,99.16,96.47,NG
B0548,411.6,16.90,99.55,97.49,OK
B0549,421.0,17.49,100.27,97.37,OK
B0550,453.9,17.94,100.78,97.01,OK
B0551,403.8,17.89,100.56,97.27,OK
B0552,449.5,17.66,99.80,95.51,OK
B0553,416.6,17.78,99.85,95.51,OK
B0554,419.2,17.47,98.03,96.08,NG
B0555,448.8,17.15,100.12,96.13,OK
B0556,455.6,18.56,98.56,96.58,OK
B0557,408.3,17.92,99.58,97.34,OK
B0558,444.3,18.18,99.74,96.24,OK
B0559,448.5,18.26,99.17,96.38,OK
B0560,438.1,17.59,99.93,95.94,OK
B0561,439.5,18.00,99.42,96.63,OK
B0562,444.3,18.33,100.00,96.21,OK
B0563,415.9,18.40,99.32,95.89,OK
B0564,411.4,18.40,100.19,96.77,OK
B0565,440.2,17.49,99.12,97.14,OK
B0566,416.3,17.53,99.42,95.52,NG
B0567,429.3,18.42,98.97,97.36,OK
B0568,427.9,17.28,99.37,95.09,OK
B0569,395.8,18.31,100.16,97.34,OK
B0570,425.9,17.83,99.56,96.26,OK
B0571,419.5,17.80,99.23,96.93,OK
B0572,411.6,18.73,98.75,95.02,OK
B0573,413.5,16.65,99.61,95.65,OK
B0574,426.5,17.02,100.02,95.61,OK
B0575,434.7,17.90,99.63,96.72,OK
B0576,443.2,17.15,99.02,95.91,OK
B0577,425.7,18.02,99.20,97.03,OK
B0578,403.0,17.57,98.60,96.56,OK
B0579,433.4,17.73,99.03,96.69,OK
B0580,426.6,18.39,99.10,97.68,OK
B0581,443.6,18.32,99.94,96.21,OK
B0582,423.4,17.01,99.67,96.68,OK
B0583,424.7,18.13,99.52,94.37,OK
B0584,424.1,18.67,99.68,96.82,OK
B0585,417.3,17.85,98.90,97.33,OK
B0586,422.4,18.14,99.73,96.41,OK
B0587,420.3,17.22,99.96,98.09,OK
B0588,403.8,17.82,99.78,96.80,OK
B0589,410.9,17.98,100.45,96.44,OK
B0590,423.0,17.89,99.80,96.00,NG
B0591,421.7,17.29,99.73,96.86,OK
B0592,416.5,17.80,100.01,96.60,OK
B0593,412.1,18.07,100.21,96.29,OK
B0594,465.7,18.22,100.41,97.65,OK
B0595,472.5,19.05,99.41,95.05,OK
B0596,414.0,17.48,99.22,96.80,OK
B0597,429.6,19.09,99.31,95.85,OK
B0598,419.9,18.65,99.35,96.00,OK
B0599,439.2,17.70,99.86,96.07,NG
B0600,439.8,17.51,100.80,96.66,OK
B0601,464.0,18.69,100.31,96.71,OK
B0602,457.9,18.72,99.62,97.11,OK
B0603,426.3,17.29,98.88,96.70,OK
B0604,447.3,18.71,99.74,95.92,NG
B0605,449.4,19.01,99.95,95.80,OK
B0606,434.4,18.07,98.62,97.05,NG
