batch_id,temperature,pressure,feed_rate,reaction_time,vacuum,energy_kwh_per_ton
B0069,179.92,2.343,99.03,58.44,,242.03
B0070,178.00,2.255,96.75,57.76,0.832,231.15
B0071,179.01,2.172,101.37,58.10,0.875,238.30
B0072,180.38,2.168,94.64,59.03,0.820,232.43
B0073,180.02,2.296,99.08,57.23,0.775,241.92
B0074,181.21,2.380,88.97,60.98,0.821,252.11
B0075,179.69,2.467,98.07,59.97,0.771,233.09
B0076,182.19,2.308,99.73,61.95,0.811,247.36
B0077,179.45,2.371,95.01,62.91,0.893,242.99
B0078,179.71,2.310,94.34,65.78,0.869,241.25
B0079,179.08,2.304,103.62,61.08,0.811,233.04
B0080,188.25,2.269,97.72,59.63,0.811,227.08
B0081,178.93,2.290,106.89,55.89,0.755,233.70
B0082,179.68,2.360,94.34,63.92,0.835,244.79
B0083,177.48,2.253,103.41,61.80,0.798,232.36
B0084,179.50,2.284,96.69,60.94,0.846,234.37
B0085,177.57,2.277,95.31,67.11,0.789,245.15
B0086,179.24,2.392,102.32,57.91,0.795,223.08
B0087,177.93,2.286,97.29,58.85,0.810,240.99
B0088,178.83,2.193,102.08,58.00,0.790,228.30
B0089,176.99,2.196,96.05,59.60,0.832,226.96
B0090,177.55,2.266,98.07,60.21,0.813,233.59
B0091,178.98,2.227,100.83,62.39,0.788,248.77
B0092,181.65,2.270,101.82,59.38,0.797,236.12
B0093,180.31,2.237,110.96,53.60,0.817,232.94
B0094,180.62,2.297,95.30,64.03,0.846,251.46
B0095,181.30,2.357,98.40,54.81,0.787,240.73
B0096,181.38,2.266,101.14,57.29,0.727,227.21
B0097,178.54,2.288,103.41,56.72,0.735,235.23
B0098,179.42,2.248,96.95,59.07,0.840,229.45
B0099,177.28,2.117,98.57,66.78,0.786,239.08
B0100,179.58,2.301,103.25,58.60,0.829,238.82
B0101,180.14,2.306,98.99,54.13,0.808,225.30
B0102,178.56,2.328,100.52,60.22,0.815,249.30
B0103,180.99,2.404,104.21,56.37,0.823,238.64
B0104,182.93,2.342,104.36,54.55,0.807,234.40
B0105,179.75,2.264,95.70,64.86,0.774,240.04
B0106,176.92,2.393,96.81,60.33,0.793,227.51
B0107,181.78,2.435,105.30,59.46,0.833,242.84
B0108,177.48,2.170,100.60,63.07,0.772,242.13
B0109,179.79,2.230,92.02,63.84,0.827,239.02
B0110,,2.387,103.13,63.22,0.851,249.04
B0111,183.71,2.363,97.04,54.26,0.790,233.12
B0112,180.08,2.398,96.06,62.39,0.809,235.54
B0113,181.26,2.237,95.42,63.46,0.786,243.07
B0114,175.79,2.254,100.64,57.73,0.863,227.14
B0115,178.38,2.288,99.67,58.56,0.817,238.69
B0116,179.25,2.286,97.96,61.79,0.740,230.88
B0117,181.09,2.351,99.51,58.47,0.720,238.68
B0118,179.19,2.321,102.14,58.19,0.745,227.54
B0119,179.72,2.308,98.12,58.86,0.821,236.72
B0120,180.86,2.202,102.04,59.03,0.908,239.73
B0121,176.54,2.199,102.71,61.31,0.855,231.49
B0122,177.44,2.280,96.36,64.35,0.894,239.53
B0123,181.23,2.326,99.14,61.96,0.824,243.86
B0124,182.66,2.305,97.42,62.85,0.813,239.60
B0125,180.42,2.348,100.78,57.47,0.790,238.57
B0126,183.33,2.336,103.59,60.35,0.770,245.77
B0127,181.29,2.310,100.28,58.46,0.844,238.44
B0128,177.76,2.228,101.78,56.81,0.785,233.60
B0129,180.37,2.238,103.25,57.90,0.779,232.78
B0130,179.32,2.298,100.64,65.11,0.828,229.80
B0131,181.84,2.275,97.87,61.10,,247.60
B0132,180.26,2.266,108.42,52.82,0.808,234.53
B0133,182.73,2.329,107.71,60.65,0.869,241.82
B0134,182.74,2.361,100.31,61.54,0.861,235.28
B0135,182.14,2.351,98.28,60.65,0.870,243.00
B0136,179.69,2.281,106.63,53.99,0.768,235.74
B0137,176.85,2.124,97.60,61.02,0.853,225.58
B0138,181.36,2.429,99.38,59.97,0.799,237.42
B0139,180.81,2.334,100.88,62.38,0.826,241.52
B0140,179.82,2.233,91.92,64.15,0.865,246.46
B0141,179.22,2.354,98.58,60.26,0.842,230.74
B0142,176.39,2.180,99.74,61.70,0.808,228.45
B0143,175.81,2.107,99.27,62.48,0.855,230.10
B0144,181.68,2.384,100.80,58.28,0.808,232.68
B0145,180.65,2.325,102.40,54.83,0.796,231.46
B0146,180.08,2.268,96.52,59.56,0.789,234.45
B0147,181.51,2.176,98.01,58.96,0.758,241.78
B0148,179.33,2.401,102.98,60.13,0.857,232.14
B0149,179.54,2.229,94.16,65.29,0.812,246.72
B0150,180.80,2.558,98.59,59.61,0.817,243.58
B0151,179.39,2.276,95.43,63.19,0.833,236.24
B0152,181.48,2.377,103.99,58.10,0.814,238.16
B0153,180.73,2.243,102.43,59.28,0.889,247.82
B0154,179.86,2.232,97.36,58.61,0.850,244.15
B0155,180.56,2.407,94.14,59.50,0.789,244.47
B0156,179.14,2.274,105.62,54.36,0.823,234.38
B0157,178.82,2.300,90.92,69.77,0.846,240.95
B0158,180.49,2.363,95.34,54.32,0.794,229.99
B0159,179.91,2.247,104.58,52.86,0.865,233.26
B0160,184.50,2.340,97.91,64.37,0.833,252.88
B0161,185.97,2.302,105.79,59.19,0.888,246.38
B0162,183.23,2.311,101.73,58.25,0.799,255.09
B0163,180.43,2.303,101.66,61.25,0.886,248.27
B0164,177.78,2.186,96.61,57.80,0.831,222.49
B0165,181.83,2.300,107.60,58.25,0.819,244.06
B0166,179.02,2.255,95.48,61.35,0.878,235.98
B0167,179.84,2.373,99.25,56.90,0.749,238.21
B0168,175.92,2.211,104.66,60.82,0.834,241.80
B0169,175.50,2.210,100.91,63.01,0.754,229.65
B0170,182.09,2.188,94.50,64.59,0.843,234.22
B0171,179.53,2.367,102.21,56.02,0.825,238.66
B0172,181.36,2.311,104.87,58.60,0.766,246.28
B0173,180.65,2.266,95.67,62.48,0.846,240.54
B0174,182.84,2.395,96.48,59.48,0.805,241.76
B0175,179.90,2.330,100.18,64.92,0.845,243.54
B0176,183.82,2.333,93.35,62.41,0.821,247.73
B0177,178.75,2.142,100.91,56.18,0.791,226.73
B0178,180.14,2.380,107.04,59.94,0.838,237.61
B0179,178.88,2.215,103.87,61.01,0.812,227.66
B0180,180.31,2.240,91.28,64.97,0.859,241.61
B0181,179.48,2.468,91.64,61.59,0.822,236.35
B0182,179.72,2.255,99.10,61.02,0.838,234.72
B0183,181.34,2.451,101.62,57.55,0.795,233.07
B0184,181.62,2.462,96.46,64.05,0.822,247.26
B0185,182.82,2.328,101.49,66.04,0.849,244.05
B0186,179.92,2.319,100.66,58.70,0.792,234.52
B0187,178.27,2.244,103.49,63.22,0.830,239.63
B0188,186.48,2.481,104.80,59.28,0.846,251.22
B0189,180.10,2.327,98.07,59.69,0.806,235.79
B0190,182.31,2.282,104.70,56.80,0.778,236.72
B0191,175.91,2.175,108.02,54.22,0.789,231.72
B0192,181.15,2.181,95.49,58.30,0.871,238.20
B0193,181.92,2.388,100.76,56.51,0.757,237.04
B0194,180.02,2.316,99.05,57.77,0.816,235.13
B0195,181.68,2.384,98.63,61.74,0.840,233.77
B0196,176.04,2.152,101.36,57.89,0.821,230.45
B0197,179.71,2.270,100.53,59.90,0.830,241.62
B0198,174.98,2.258,98.60,61.21,0.760,235.69
B0199,176.13,2.182,100.04,56.32,0.785,229.08
B0200,177.77,2.246,105.96,59.24,0.791,228.15
B0201,180.07,2.406,101.06,57.96,0.810,234.28
B0202,176.56,2.187,102.26,58.36,0.879,229.60
B0203,179.01,2.319,103.33,57.53,0.814,227.26
B0204,179.01,2.371,99.05,60.87,0.793,240.10
B0205,179.04,2.238,104.44,59.46,0.769,230.83
B0206,180.00,2.338,92.56,66.84,0.871,246.26
B0207,183.11,2.530,99.29,58.67,0.835,246.14
B0208,178.58,2.148,96.77,62.98,0.838,236.06
B0209,175.82,2.181,96.28,54.95,0.769,227.31
B0210,175.29,2.230,99.31,57.51,0.786,226.33
B0211,182.09,2.413,99.87,63.20,0.807,237.52
B0212,177.57,2.184,102.29,57.72,0.765,235.10
B0213,181.37,2.366,104.21,59.20,0.756,228.18
B0214,180.23,2.272,95.36,60.67,0.832,236.10
B0215,177.44,2.294,105.93,51.90,0.793,219.11
B0216,181.66,2.317,107.86,57.90,0.799,232.68
B0217,178.31,2.287,103.18,60.19,0.894,232.46
B0218,178.59,2.325,93.74,66.82,0.832,246.84
B0219,178.76,2.213,100.64,58.08,0.841,226.42
B0220,181.18,2.469,95.09,60.48,0.814,236.95
B0221,178.59,2.383,92.40,62.56,0.796,233.82
B0222,181.87,2.354,105.18,54.93,0.860,237.47
B0223,183.19,2.446,94.30,64.85,0.803,249.08
B0224,181.21,2.262,94.36,62.24,0.809,233.62
B0225,180.40,2.298,94.51,59.37,0.821,238.08
B0226,177.92,2.265,94.60,60.83,0.833,236.40
B0227,178.30,2.259,104.34,54.65,0.793,234.35
B0228,181.76,2.483,95.25,61.61,0.830,245.47
B0229,176.92,2.143,97.47,57.61,0.786,222.01
B0230,182.44,2.318,99.44,60.24,0.837,243.35
B0231,180.43,2.190,95.99,61.42,0.759,239.85
B0232,180.13,2.458,102.47,55.52,0.890,242.13
B0233,178.94,2.167,97.31,62.00,0.739,230.19
B0234,179.96,2.223,102.81,57.72,0.868,248.65
B0235,177.02,2.276,93.82,58.51,0.843,232.89
B0236,178.30,2.329,95.20,62.50,0.848,235.96
B0237,179.34,2.248,103.59,57.39,0.843,219.76
B0238,175.37,2.310,98.60,62.65,0.821,225.87
B0239,178.50,2.304,98.68,59.11,0.804,237.79
B0240,181.00,2.386,96.63,59.65,0.800,237.39
B0241,181.34,2.434,104.10,56.41,0.858,238.17
B0242,178.98,2.191,100.99,61.88,0.810,240.32
B0243,182.51,2.322,102.29,60.12,0.799,240.77
B0244,179.09,2.357,100.78,63.05,0.834,230.89
B0245,183.04,2.271,103.23,60.21,0.845,246.33
B0246,178.73,2.308,101.48,63.11,0.801,238.33
B0247,179.93,2.266,100.08,64.61,0.813,252.53
B0248,178.92,2.309,104.79,55.05,0.828,237.36
B0249,177.57,2.137,97.25,57.18,0.859,231.01
B0250,179.72,2.214,104.78,55.63,0.854,230.42
B0251,177.51,2.262,100.99,62.83,0.804,231.97
B0252,178.75,2.220,101.31,60.74,0.774,242.63
B0253,184.39,2.511,100.79,62.74,0.769,243.79
B0254,178.72,2.208,98.78,59.47,0.826,233.52
B0255,177.81,2.244,103.87,57.26,0.798,234.26
B0256,177.38,2.219,100.85,57.03,0.801,224.39
B0257,182.32,2.344,92.73,64.55,0.792,252.45
B0258,180.24,2.132,102.69,57.63,0.750,231.15
B0259,179.38,2.300,100.35,61.69,0.750,244.17
B0260,177.82,2.465,95.00,64.77,0.795,238.83
B0261,177.27,2.187,99.40,59.04,0.825,234.79
B0262,177.62,2.401,102.21,58.29,0.851,233.64
B0263,184.62,2.314,102.06,56.58,0.775,231.55
B0264,178.67,2.375,93.94,58.63,0.778,240.07
B0265,178.46,2.306,98.00,56.77,0.820,231.86
B0266,178.53,2.135,102.35,64.27,0.788,233.91
B0267,180.49,2.313,104.41,55.71,0.779,230.69
B0268,181.48,2.402,100.99,60.54,0.781,242.19
B0269,182.75,2.391,102.09,60.70,0.813,247.38
B0270,182.47,2.276,103.43,55.18,0.861,243.18
B0271,179.09,2.244,101.15,61.18,0.796,231.01
B0272,179.64,2.380,96.57,65.28,0.813,245.25
B0273,175.24,2.194,104.52,60.26,0.832,231.64
B0274,181.61,2.326,98.97,59.92,0.819,235.40
B0275,178.18,2.319,102.24,54.28,0.820,235.50
B0276,178.60,2.337,105.52,63.12,0.867,240.24
B0277,181.50,2.287,102.01,56.36,0.870,234.96
B0278,179.86,2.468,95.04,57.04,0.807,235.52
B0279,180.20,2.331,102.69,55.53,0.849,242.03
B0280,178.55,2.174,98.68,63.34,0.835,236.76
B0281,177.71,2.183,99.65,58.08,0.735,241.01
B0282,178.63,2.354,103.81,58.73,0.764,238.16
B0283,183.54,2.538,97.68,58.12,0.801,243.46
B0284,,2.286,98.67,59.20,0.817,234.12
B0285,176.09,2.184,102.64,54.22,0.791,224.91
B0286,181.76,2.298,100.90,60.62,0.833,246.50
B0287,179.27,2.249,96.06,60.76,0.857,233.36
B0288,182.14,2.405,97.35,61.74,0.827,248.38
B0289,181.31,2.345,104.87,58.40,0.861,241.85
B0290,180.26,2.330,97.84,62.41,0.780,243.76
B0291,182.28,2.316,99.48,59.48,0.865,238.01
B0292,176.93,2.214,104.23,59.76,0.791,224.40
B0293,179.74,2.320,102.23,55.31,0.801,233.69
B0294,181.81,2.232,100.76,58.68,0.837,237.06
B0295,182.22,2.280,102.85,63.53,0.827,246.77
B0296,184.69,2.347,107.91,58.97,0.814,242.58
B0297,183.70,2.388,104.13,57.22,0.828,235.83
B0298,178.36,2.356,95.11,63.17,0.826,241.55
B0299,182.66,2.519,97.85,58.87,0.816,238.57
B0300,178.93,2.350,99.43,55.75,0.839,235.84
B0301,178.72,2.238,101.37,57.11,0.785,232.21
B0302,174.92,2.303,103.63,58.80,0.871,234.54
B0303,180.08,2.424,101.23,59.24,0.845,232.25
B0304,181.00,2.326,93.60,60.01,0.864,238.99
B0305,179.34,2.070,92.66,62.53,0.809,238.79
B0306,178.52,2.275,99.73,59.49,0.772,238.23
B0307,180.16,2.326,107.34,55.25,0.790,234.83
B0308,181.25,2.376,96.38,62.33,0.815,242.00
B0309,185.88,2.442,92.48,60.82,0.734,239.93
B0310,180.75,2.299,98.47,63.51,0.813,254.54
B0311,181.39,2.324,96.73,57.33,0.762,243.66
B0312,180.56,2.167,91.62,67.42,0.816,236.19
B0313,179.68,2.300,99.00,62.92,0.785,241.06
B0314,178.73,2.101,93.69,62.95,0.803,225.74
B0315,178.54,2.328,96.96,62.73,0.804,239.53
B0316,,2.262,101.02,57.05,0.889,224.07
B0317,184.69,2.372,103.32,62.03,0.850,252.69
B0318,182.77,2.247,106.18,57.57,0.826,239.50
B0319,180.32,2.454,99.34,58.22,0.877,229.81
B0320,178.51,2.144,100.41,58.47,0.802,234.38
B0321,179.31,2.148,96.80,58.50,0.745,238.57
B0322,181.08,2.211,91.62,61.76,0.865,245.05
B0323,179.82,2.320,96.52,61.63,0.749,241.09
B0324,180.56,2.307,103.40,56.75,0.807,236.54
B0325,182.04,2.340,98.71,56.21,0.842,235.48
B0326,181.31,2.370,102.01,60.39,0.820,238.53
B0327,177.32,2.219,101.95,58.73,0.807,233.91
B0328,180.26,2.378,104.46,60.60,0.769,237.48
B0329,179.94,2.370,102.27,57.66,0.784,229.66
B0330,183.20,2.388,109.80,51.22,0.749,240.36
B0331,178.43,2.245,98.27,59.90,0.783,224.77
B0332,176.23,2.199,98.75,55.83,0.842,227.83
B0333,180.22,2.403,102.44,57.43,0.774,228.70
B0334,180.86,2.393,101.80,57.14,0.801,233.65
B0335,178.63,2.264,97.82,58.60,0.851,226.75
B0336,179.35,2.427,101.78,54.68,0.819,229.95
B0337,183.23,2.408,107.87,54.86,0.857,237.33
B0338,180.53,2.281,98.98,63.40,0.813,237.69
B0339,180.01,2.297,98.58,66.51,0.818,246.61
B0340,178.69,2.170,103.25,60.52,0.842,240.30
B0341,181.25,2.337,101.70,59.35,0.825,234.81
B0342,178.82,2.311,101.98,57.38,0.843,241.80
B0343,183.67,2.443,105.96,56.44,0.808,239.64
B0344,178.70,2.220,95.84,59.29,0.816,229.96
B0345,175.75,2.159,99.82,59.03,0.752,229.64
B0346,185.13,2.399,101.14,56.60,0.757,240.28
B0347,180.47,2.340,98.33,61.87,0.707,242.67
B0348,179.78,2.371,100.38,60.70,0.855,250.41
B0349,181.22,2.447,107.96,52.24,0.807,226.02
B0350,179.65,2.255,101.75,58.24,0.819,241.88
B0351,183.78,2.456,104.11,59.18,0.843,243.29
B0352,180.89,2.346,98.54,61.37,0.805,240.64
B0353,179.05,2.288,102.53,57.36,0.788,242.25
B0354,180.11,2.327,104.20,55.45,0.833,255.33
B0355,180.28,2.413,98.57,60.10,0.822,236.37
B0356,182.33,2.432,109.84,58.31,0.783,238.61
B0357,183.34,2.418,100.38,56.74,0.823,244.04
B0358,180.01,2.203,100.31,60.24,0.815,233.26
B0359,178.74,2.206,98.47,57.15,0.805,231.99
B0360,181.64,2.337,102.65,56.60,0.797,248.18
B0361,182.60,2.281,99.22,60.09,0.814,242.88
B0362,178.35,2.283,105.76,60.97,0.865,232.88
B0363,179.13,2.223,98.64,60.39,0.828,231.47
B0364,184.41,2.423,90.42,65.94,0.833,252.24
B0365,180.75,2.384,102.65,64.08,0.785,246.59
B0366,183.61,2.271,103.22,59.07,0.805,243.41
B0367,180.50,2.352,105.02,54.51,0.821,234.02
B0368,179.87,2.337,98.22,58.07,0.808,231.20
B0369,177.98,2.149,99.29,62.55,0.779,226.49
B0370,178.64,2.247,102.33,56.56,0.812,228.21
B0371,178.74,2.313,98.59,61.23,0.886,229.86
B0372,178.68,2.232,98.98,58.40,0.818,235.12
B0373,178.06,2.242,94.96,60.39,0.833,234.08
B0374,182.49,2.325,100.67,61.58,0.860,243.91
B0375,181.67,2.274,98.26,60.51,0.801,231.43
B0376,176.66,2.266,103.74,62.56,0.833,228.45
B0377,179.91,2.365,96.45,60.43,0.811,233.96
B0378,193.56,2.352,103.82,57.00,0.804,234.22
B0379,182.89,2.479,98.61,61.99,0.830,246.72
B0380,184.33,2.384,104.94,59.86,0.864,237.51
B0381,182.52,2.269,105.94,62.26,0.830,233.09
B0382,177.71,2.208,106.60,61.85,0.832,231.57
B0383,176.49,2.239,95.74,62.22,0.839,225.38
B0384,180.72,2.235,93.47,61.63,0.890,238.80
B0385,180.64,2.417,99.23,60.69,0.842,239.67
B0386,180.40,2.317,99.20,61.09,0.814,244.74
B0387,178.79,2.242,99.95,59.91,0.842,243.21
B0388,182.47,2.291,96.51,64.57,0.775,244.01
B0389,177.57,2.184,101.89,55.14,0.877,224.82
B0390,,2.430,105.47,59.38,0.812,235.37
B0391,179.68,2.181,96.43,59.41,0.870,226.63
B0392,179.41,2.243,103.29,59.69,0.801,242.11
B0393,178.95,2.264,98.45,59.59,0.841,240.95
B0394,182.52,2.306,100.19,64.35,0.879,244.35
B0395,178.32,2.435,102.81,58.48,0.829,235.85
B0396,177.87,2.181,95.00,63.89,0.882,245.76
B0397,179.95,2.298,97.30,64.04,0.780,244.04
B0398,177.54,2.135,99.54,57.94,0.854,231.48
B0399,180.01,2.324,98.65,62.27,0.774,241.82
B0400,178.47,2.197,105.09,55.22,0.777,227.33
B0401,179.60,2.341,97.20,62.80,0.843,232.47
B0402,182.02,2.376,99.04,57.68,0.815,236.62
B0403,178.48,2.288,104.45,51.53,0.814,229.50
B0404,176.09,2.402,102.13,61.19,0.842,228.29
B0405,182.41,2.273,101.71,57.70,0.834,243.92
B0406,178.14,2.239,98.91,63.80,0.867,220.87
B0407,177.09,2.255,97.52,59.28,0.813,235.15
B0408,184.40,2.348,99.89,62.05,0.753,247.46
B0409,179.53,2.114,102.94,61.30,0.856,242.10
B0410,181.49,2.334,102.32,64.58,0.821,236.33
B0411,180.84,2.352,98.54,68.41,0.767,248.28
B0412,179.08,2.278,95.42,62.75,0.837,236.78
B0413,180.67,2.302,101.38,57.56,0.854,232.12
B0414,179.94,2.190,102.62,59.92,0.852,230.57
B0415,179.85,2.301,94.74,61.64,0.829,237.65
B0416,178.31,2.455,100.81,58.20,0.801,241.48
B0417,181.44,2.242,99.18,56.28,0.785,236.60
B0418,180.91,2.451,99.88,63.03,0.865,232.31
B0419,179.42,2.369,96.53,56.83,0.853,235.98
B0420,184.94,2.437,96.65,61.41,0.881,245.37
B0421,179.38,2.349,98.66,58.92,0.841,242.20
B0422,179.38,2.300,94.46,63.42,0.791,237.96
B0423,180.64,2.292,97.42,54.85,0.869,241.04
B0424,178.72,2.184,97.19,64.88,0.782,227.19
B0425,177.11,2.129,94.10,60.63,0.848,229.36
B0426,179.48,2.353,98.97,65.53,0.824,242.81
B0427,179.20,2.174,99.34,58.98,0.822,234.74
B0428,,2.409,97.49,59.82,0.829,238.10
B0429,176.16,2.109,105.00,53.05,0.846,218.92
B0430,178.25,2.277,101.17,60.98,0.829,235.71
B0431,177.86,2.282,100.21,57.50,0.839,232.14
B0432,176.37,2.112,93.68,63.95,0.802,231.43
B0433,179.81,2.267,94.30,63.91,0.844,240.17
B0434,183.16,2.372,99.54,54.97,0.812,237.56
B0435,177.49,2.249,105.58,55.30,0.787,231.33
B0436,177.77,2.228,108.85,51.85,0.828,222.30
B0437,177.87,2.318,98.01,64.03,0.786,243.51
B0438,178.80,2.308,91.95,68.18,0.842,244.44
B0439,177.72,2.236,99.67,63.80,0.872,227.67
B0440,181.47,2.351,102.23,56.90,0.840,236.32
B0441,182.45,2.377,102.00,55.32,0.814,242.86
B0442,175.91,2.164,93.76,61.27,0.807,227.45
B0443,180.13,2.285,92.66,65.16,0.787,243.08
B0444,184.20,2.414,97.26,59.64,0.773,244.09
B0445,176.52,2.133,101.97,54.55,0.777,226.64
B0446,181.85,2.520,100.65,59.54,0.816,243.08
B0447,181.32,2.193,97.61,61.92,0.840,240.19
B0448,179.89,2.406,100.20,58.55,0.790,227.35
B0449,179.94,2.304,95.85,61.45,0.765,235.56
B0450,178.87,2.360,102.16,63.26,0.859,232.97
B0451,179.14,2.324,105.82,62.79,0.847,240.16
B0452,176.53,2.159,103.36,59.28,0.769,232.83
B0453,178.87,2.256,103.30,60.89,0.846,239.08
B0454,181.90,2.371,95.65,58.30,0.812,239.72
B0455,181.42,2.369,112.60,55.25,0.827,241.19
B0456,181.65,2.318,101.39,59.84,0.837,233.55
B0457,179.67,2.229,102.62,61.15,0.855,233.68
B0458,183.48,2.411,106.97,54.99,0.793,240.25
B0459,183.88,2.324,96.18,59.73,0.813,246.71
B0460,178.63,2.399,101.08,56.27,0.829,223.77
B0461,180.95,2.251,98.58,64.57,0.820,244.01
B0462,179.50,2.102,105.16,61.08,0.889,241.96
B0463,181.19,2.230,91.28,60.23,0.814,234.56
B0464,181.95,2.355,102.48,62.74,0.822,250.81
B0465,180.51,2.404,105.06,58.47,0.755,240.34
B0466,,2.233,96.76,60.10,0.796,238.74
B0467,180.57,2.378,97.54,67.91,0.794,246.09
B0468,181.03,2.366,105.03,54.80,0.797,227.09
B0469,178.85,2.373,95.89,62.67,0.816,243.23
B0470,182.12,2.365,101.60,58.94,0.743,232.78
B0471,179.84,2.286,94.81,64.55,0.763,236.55
B0472,181.15,2.333,100.77,59.34,0.825,237.05
B0473,182.22,2.411,95.96,66.10,0.835,248.51
B0474,177.63,2.250,90.67,67.93,0.783,242.61
B0475,181.41,2.396,98.86,58.75,0.822,234.24
B0476,180.73,2.316,100.84,65.54,0.875,240.42
B0477,180.68,2.313,95.47,60.52,0.832,250.38
B0478,183.55,2.326,100.95,58.36,0.854,250.09
B0479,180.43,2.266,102.69,58.20,0.811,237.93
B0480,177.78,2.147,97.67,61.57,0.757,237.02
B0481,179.12,2.361,109.20,59.56,0.809,227.86
B0482,181.41,2.368,98.90,56.86,0.814,240.79
B0483,183.34,2.393,97.84,60.40,0.863,243.68
B0484,184.03,2.340,97.48,58.32,0.750,229.88
B0485,179.89,2.330,99.72,58.54,0.778,223.82
B0486,178.29,2.199,103.35,57.61,0.875,219.33
B0487,182.80,2.348,99.79,64.25,0.820,249.27
B0488,180.94,2.296,96.08,60.77,0.821,237.86
B0489,178.59,2.309,101.30,59.94,0.783,231.24
B0490,181.20,2.254,98.36,55.72,0.869,235.38
B0491,175.53,2.216,95.14,63.95,0.821,229.42
B0492,180.94,2.473,91.29,66.09,0.820,238.08
B0493,179.01,2.313,102.23,53.80,0.807,221.66
B0494,179.34,2.199,95.01,60.89,,238.01
B0495,178.95,2.344,93.83,63.64,0.796,235.62
B0496,175.65,2.065,102.38,58.70,0.844,235.83
B0497,178.17,2.205,95.97,55.89,0.844,234.38
B0498,181.57,2.397,100.09,58.01,0.795,238.52
